,crate
10102,lance
0010202020,evade
001020202020102,eagle
0001001202,idiot
0100120100,siren
0001000202,begun
000100020220010,built
0000100020,embed
0120010000,award
020000001022200,dross
001000021001202,annul
000000020022020,goody
0200000012,dwarf
020000001201011,frown
0011012010,patio
001010102111022,laden
0000001000,humid
0002200210,elite
0000020000,lymph
000010101020010,edify
000101010200000,might
0101102121,reset
0001000112,visit
000200101010120,gusto
0100211200,purse
011000110012100,vapor
2200000010,crock
0000000021,skunk
000000002120120,sunny
00220,loath
202000220022200,chaff
0000222200,slide
010010000010020,queer
000010001102121,venom
002102000020201,stamp
0100000211,sorry
000100021100200,still
1110002110,acorn
001000010020222,aping
0000000001,humph
000000000112010,pushy
0111120020,humph
011112002000200,tamer
0111110020,hater
001000020022202,mania
001020100020202,awoke
0220000100,prank
022000010002210,brawn
000100021220202,swift
0000201200,exile
1100000100,birch
100000210022010,lucky
0200101122,freer
010000010110111,risky
0001011022,ghost
0100100210,plier
0110020100,lunar
1000000010,winch
01202,blush
0120200010,snare
0100210200,nurse
0000210000,humph
000021000021000,house
0110002200,borax
1100102220,nicer
1100020110,lurch
00211,sadly
0021101020,exalt
0011011110,about
0010020002,prove
001002000200020,savvy
0001002101,toxin
1001000110,tunic
0200110021,pried
0010000112,inlay
2000010100,chump
0010000212,lanky
2200100010,cress
0111110120,eater
000020200011000,elude
2000200000,cycle
0002000102,dwarf
000200010200000,kitty
000020100002011,boule
0100000220,moron
0001100122,tenet
10202,place
000002010022002,lobby
000001000111200,plush
000001200000020,vigil
0000101021,index
2000012001,clung
0020001000,qualm
2200010010,croup
200000201122220,clink
100000201002220,juicy
0021210100,stage
10101,decal
1010122220,decay
010010021002222,flier
2200000020,crook
20101,camel
2010121011,clean
2010010000,china
010020010110012,ridge
000010012000021,vowel
0000200011,gnome
1000001001,snuck
100000001001110,icing
000000102100010,spiny
010000012020101,rigor
0020021110,snail
000001021002222,flown
0110000110,rabid
0200221001,prose
0021000022,thank
000000010000000,poppy
000020000120120,budge
01001001000202001000,fiber
000001010000102,moldy
00000001000010002222,dowdy
0000100121,kneel
12210,track
2010000002,caddy
000010011000220,quell
0110122200,paler
0100220110,bench
010022011001000,swore
0110101000,debar
011010100002222,rebar
1010000020,scuba
001101100000121,splat
0100100011,flyer
010000021001000,horny
0010011100,mason
0000001120,doing
0000200020,ozone
001000002210000,amply
011001210000100,molar
0120000100,ovary
0001110122,beset
000020000001020,queue
200000201022200,cliff
1010001100,magic
1201222022,truce
0101020202,sport
0202022020,fritz
1001120022,edict
0101000001,twirl
010021020000222,verse
0020002000,llama
0011100101,eaten
0110210021,range
000000100110000,whisk
000010012000020,hovel
011010100002121,rehab
1010000100,macaw
001002000020010,sigma
000100101221000,spout
010020020002222,verve
000000100112000,sushi
0000001020,dying
0001100101,fetid
0220001100,brain
000000000012002,buddy
000101000122220,thump
1000000011,scion
201001000222202,candy
2100000220,chord
0010010100,basin
1110001211,march
220000001022200,crowd
0210011120,arbor
001000002200010,gayly
000000000102100,musky
0021020110,stain
001000002200100,dally
000011011002220,bless
0220000000,bravo
000100001101100,stung
0001200120,title
010010001000021,ruler
0000002201,kiosk
0000010220,blond
000010101120110,ennui
0110102100,layer
000001100001112,fluid
001200000220000,tatty
11002,score
20012,cutie
011010100002211,zebra
0110210020,barge
0011101101,matey
010010001020021,bluer
011010100011012,aider
000000020120222,shook
010010010012020,river
0200001100,privy
0001101121,betel
0000000110,bongo
0000100012,begun
0110220000,azure
000020011101212,genie
0000000121,sound
0000202001,glove
0220011000,braid
1000200011,scope
0200000000,wryly
010010200020100,wedge
01001020002010001000,rover
0010010002,assay
1010101120,ocean
000001020002102,bloom
0222202222,irate
0111110021,later
000010002200010,woken
0000012001,silky
12001,wreck
0001101202,dwelt
0022202001,slate
1020000010,smack
0000011101,solid
002020000000202,amaze
001010002200001,hazel
0201010001,wrist
000001010000002,jolly
000020200122202,globe
000100020200001,flint
0100210110,rouse
2000001020,civil
0012010100,vista
0110101200,relax
21001,ivory
2100101110,cover
001020121022202,alive
1000120200,beech
0002100100,jetty
0000011002,bliss
101001000102222,vocal
000110002101220,often
00000101000010202212,dolly
000110010201012,eight
01001020001010002222,joker
1000202201,since
000110020201202,event
0000210010,ensue
0001010012,shunt
010010010012021,diver
0100112000,poser
0101010102,worst
0000120020,sweep
0010100021,alley
2200100022,creed
0010211200,anime
002010000022202,leafy
1000220200,dunce
01212,stare
000000000012012,pudgy
0010202200,waive
2100010210,choir
000100101101200,stood
000022000020222,spoke
000100100122202,outgo
0010100101,delay
0000201101,bilge
0010100202,ideal
2020000201,clasp
000022020020202,seize
0001022001,hotly
001000001001200,laugh
0000220100,sieve
100000010002222,block
0021101000,meant
022020001212002,grape
000021001001102,noose
0110000222,hardy
0000121020,shied
0220020000,drawl
001001000211002,daisy
0002000002,putty
0101020022,strut
010100001220112,burnt
0001000101,tulip
2200000200,crick
000001100000121,idyll
000010202202122,vixen
0100002220,furor
000010001002001,geeky
200001000022202,cough
001020220002222,naive
0010021010,shoal
010102020110100,stork
0012000012,aunty
2000100110,check
020022000022202,prime
0220000002,brass
0100002200,flesh
010000220020000,furry
011000110022000,razor
100112002220222,evict
000001100000120,imply
010010000010011,demur
001200000001020,quota
0010101020,haven
2010000010,cavil
0110101001,swear
2200010000,crump
000000010001120,dough
001010002200010,gavel
0010001100,wagon
0010021110,salon
000020001111002,nudge
011010201002121,harem
1001020022,pitch
0100000111,sworn
000001100002110,pupil
1000101120,excel
000100101100202,stony
2010010200,cabin
000010002202000,queen
0201021020,trout
000001010000001,polyp
01121,earth
010102020100110,storm
000100010111120,until
011112002000010,taper
0101101222,enter
200000101000101,child
001101101000000,adopt
010000012010111,minor
001200000210000,fatty
000000000122000,husky
022020000202202,brave
0001101022,filet
000022220022202,slime
000100020200101,glint
0211102221,tread
0011120211,steal
0110101100,regal
0001110202,guest
01001000020102000222,every
010000220000000,murky
0120200011,share
0100222110,spore
000000010022000,buxom
010010010001220,inner
010110022220222,otter
000001200000211,dimly
000010012002020,level
1010000200,sumac
000100200202102,donut
0210102210,arena
000112022220222,sheet
1100000120,scrub
000001100100010,slimy
0120101010,pearl
000001200122202,silly
1100002100,porch
0000002110,dingo
001010010011010,sepia
001021102022022,amble
0020020000,smash
002002000020201,shady
0210001100,friar
0100100200,reign
0110000112,dairy
000001100002220,quill
2200001010,cross
0200000020,model
020000002001100,brood
010110012202100,tuber
011010100120222,shear
0001002112,posit
0020002022,bluff
002000202222000,blank
0010000020,villa
0020020022,shank
000000200000022,piggy
0210102220,freak
100000001021022,which
001000110001111,among
1010102222,fecal
000012011010000,shell
000001010001100,would
001020101022002,algae
0110211020,large
011000010000011,rabbi
0010001102,agony
0010211001,amuse
000000000112000,bushy
2000202001,copse
000000021120212,swoon
0000200210,knife
1000021000,pouch
1011001000,antic
101100100020101,ascot
0020202000,embed
002020200010000,plane
2200000012,crown
0210011102,urban
0000220210,snide
011010120022220,relay
0010201200,abide
0010001020,viola
011000010000021,rajah
0111021101,straw
000001200000011,dilly
2220010001,crash
0020010000,amass
0101002001,third
12010,trick
0101000111,tutor
000000020002120,woody
0100001100,blurb
0200100121,grief
100000001111110,disco
001002000200000,sassy
1020120002,beach
0010020100,sauna
2000000220,comic
2000110020,clued
2200110020,creep
20122,caste
022020001202002,graze
0000000011,snuff
1200002022,frock
0010002200,gonad
0200000001,drunk
0200010111,prong
0100012200,lurid
0001121221,steel
001020201002222,halve
010010000101022,buyer
0000012010,vinyl
0001200220,utile
000012011000100,smell
002021000021202,adage
010000021020000,worry
0012010002,tasty
1010020001,local
02212,trade
100000001002222,finch
001010102011022,ashen
0010002010,modal
001101220100210,gaunt
2000201000,clove
10211,enact
011000111011101,adorn
0121010000,roast
1000100200,speck
0000121010,sheik
000000200100100,missy
0201010110,grunt
000000021120201,snoop
01120,party
1001002222,touch
001000000022020,mafia
1000200000,emcee
0210001200,array
0002002010,south
001000000002020,vapid
000010021002222,jelly
000001000120202,skulk
0011011001,angst
0011021100,tubal
010010201022022,lower
2201122202,crest
0011120202,sweat
2100100011,cyber
011022000020022,adore
0111002111,tardy
0020020100,swami
1001002022,notch
0200020020,groom
11200,scarf
1120001210,roach
1001000022,dwarf
100100002200000,hitch
000000012000001,young
001000011011001,align
0120101102,ready
0200000011,frond
011102110122220,strap
0100201200,puree
0120101020,realm
000020001001022,venue
0120000001,swarm
010010100000011,offer
0200120022,dryer
012002000020220,diary
020000000002222,dryly
0220020100,drank
1110002210,acrid
0020120001,heady
0012101022,theta
0002011000,junto
000020010000022,pixie
000200100001220,quoth
0000000112,bonus
0021021000,shalt
000020002000022,penne
0010101200,amend
0011012100,datum
000001100002222,build
0020000120,piano
00001201101000022220,shelf
0000201001,lodge
000000102102000,suing
0120101000,rearm
2110021201,coral
011010201002221,ramen
0102000000,worth
0020011000,psalm
010010010001120,infer
010110110100222,overt
0110001101,mayor
0000001200,ovoid
0000202201,glide
0020210010,usage
0000210200,poise
0110000122,randy
200001000020221,chuck
000000200110000,fishy
000200200002120,tooth
0101101122,ether
0200201010,drove
010010011011022,idler
0022000222,swath
000100021222202,stint
000020120000222,while
0011100102,begat
001000002200000,apply
0020022020,slang
0111002101,tarot
011000011022001,radar
2200100011,credo
0120200000,aware
2010011000,canon
0001010212,shift
0101110122,timer
0010000011,bylaw
010012000000100,serum
0101201012,three
001112020122220,steak
1010011000,iliac
0001000002,blunt
000000000002022,puppy
0010101102,penal
000100222200110,joist
000000002002222,bunny
002020001000020,shape
000110012202022,beget
000010012001021,wheel
0011100202,adept
0001000012,stunt
0001220020,stole
001102101002000,topaz
21002,curse
2100220102,chore
000020200001000,fluke
0011011020,blush
001101102000000,afoot
001101101002000,bloat
000001000020022,bully
000021001011102,dense
21101,cedar
2110121012,caper
010012000000220,sneer
010010200010101,boxer
000000010012000,jumbo
0000201011,lunge
1020210222,space
0020001100,avail
0101022202,short
010000110101222,slurp
0010002011,loyal
0101000002,flirt
001000000001010,pizza
2000000001,conch
000110010102100,tempo
0200000120,droop
0022202010,plate
0000201100,bible
0000010020,plunk
001000101021010,afoul
0010021002,savoy
000112022122220,steep
0010201220,agile
0021200101,stake
000010011010220,dwell
002020000100212,knave
0120121100,beard
0210222022,arose
000100210112020,motif
0200001010,broil
0120202000,glare
000022000020202,shove
001000000200022,baggy
001000000200002,mammy
002002000021200,swamp
0010001110,along
010000210002010,rugby
011010200012100,wager
1020000100,quack
0011011200,squat
0020020011,snaky
0010222000,rebut
001022200001000,mange
0022200001,skate
0002020100,ninth
000100202202022,joust
022100000022200,tramp
010000110101221,spurn
1100001201,micro
010010001012022,rebel
002000202202010,flank
012010101002221,learn
011000011012021,nadir
0010222020,maple
2000000200,comfy
0101112101,remit
0200020000,gruff
010110122220222,ester
0021111010,least
000001010001010,mogul
1001110021,fetch
2010200220,cause
0010111020,oaken
001000101020222,aglow
0022102220,meaty
001020200022002,gaffe
000001000120000,shyly
1110121210,racer
020000011001000,prowl
000110002120020,thief
010110110101221,stern
0000110010,poesy
1100002200,rocky
0001100222,tweet
0011012000,waist
0100222100,spire
0200211000,grope
1010000001,havoc
001101200002021,patsy
0201020010,truly
0102020002,forty
000210010002022,deity
1000200100,uncle
000000100100002,swish
01001001001202002222,giver
0200101021,preen
000010012022020,bevel
010010001002001,lemur
0221010000,draft
0000222000,slope
0010001202,annoy
0000022110,lingo
0010110201,bleak
000200010220000,ditty
2100000012,curly
0100200201,merge
010020020100222,dirge
0200020012,grown
0100200210,horde
020000002001102,drool
100000100120222,shuck
2201022002,crypt
2000010222,cumin
1001001020,stock
0220000010,gravy
1000001102,locus
010010010002021,wider
0200111021,breed
0002202200,quite
2020222202,chafe
2010200001,cache
000001100000210,blimp
000010101202222,deign
0000102011,fiend
1000000120,logic
2010121010,cheap
000020220002202,elide
0100010100,rigid
001020201112022,false
011010110022022,renal
1000200200,humph
100020020000010,pence
010001011000111,rowdy
0001011012,shoot
002020200010100,blaze
000010001101221,envoy
000021000000010,posse
020010012102222,brief
010010000001020,never
0111001101,abort
000021000001100,mouse
100000200002100,mucky
000001000120101,sulky
0100100102,fiery
001010010010010,media
0201020110,trunk
0021111001,yeast
2110121022,clear
1020011010,scalp
00020001020000002222,bitty
2100110010,cider
0020001001,koala
000110002202022,duvet
0000220001,segue
22002,spend
2200200200,creme
010012000000021,super
0200021000,grill
011111002001222,after
010010100002010,owner
010010000000020,refer
01001000000002001022,ember
11201,reach
0000010110,nobly
0002110100,empty
000012002020221,speed
000000200100010,gipsy
1100100210,recur
100000000120222,smock
0210102222,dread
0101010012,burst
001000000002000,kappa
0012000202,amity
0020020001,shaky
010010200011100,hover
2110022201,carol
010102020220222,snort
0000000111,synod
001101200120000,faint
001101220100201,haunt
010000111001110,flour
2120022210,chair
000110010102201,detox
010012000012020,shrew
0001210000,tense
0000101120,plied
0120000000,quark
010000220001000,burly
000010012101022,novel
001010102002022,waxen
1001001010,stoic
01001000020201002222,jerky
0002000200,blitz
000010001002100,beefy
1100020100,lyric
00000000012200022202,hussy
0001101021,hotel
000110102102122,towel
000100020200010,quilt
000010021022200,below
000000211002222,bingo
000000200100020,wispy
0220000001,brash
1000200111,scone
0021010000,toast
0010100122,easel
101000000002022,saucy
001020201022202,value
1000201001,spice
010000012011011,honor
01022,route
0120002001,sharp
001000000200102,bawdy
011000011022021,radii
000001000120201,skull
0000000220,phony
0000210100,issue
011010210022022,lager
000012011000000,swell
020020010002222,urine
001001000211202,gassy
0211022220,trial
011001110001111,flora
010010000020020,upper
1011012010,latch
000101010200010,wight
1200002222,brick
010110220122220,retry
00000101000000202222,holly
0220000012,grass
1020000011,shack
001000200002102,dogma
010010200010110,mover
010010000000021,defer
010012200022022,sober
1001011010,optic
2200100220,crier
000000102002222,vying
0010002100,nomad
0002201010,flute
0000002100,hippo
012000200122220,shark
020012002222022,drier
000021000000000,obese
000020100110012,bugle
001102200122102,tawny
2020012200,chalk
0021111000,feast
0100012100,ruddy
001010010202222,pedal
2200101020,cruel
001110021202222,bleat
001102100022001,tidal
000001000120200,slush
000012002222022,semen
0000002010,dumpy
000000201010002,windy
000200001200100,dusty
001002002222022,sally
0000011100,igloo
010010000202011,nerdy
000010012002021,jewel
0000220020,shone
002020100010202,whale
000010002200201,hymen
0010201001,abuse
000020000100110,fugue
000010011010110,elbow
2200000000,crumb
0010010202,pansy
0000110210,welsh
010000120120220,syrup
0101211012,terse
002020001002000,suave
001101210002121,gamut
000000002120220,swung
