,raise
0000111020,bleed
0100112011,delta
00200,clint
0020012200,flick
0000100021,totem
1000102020,mawky
100010202000100,wooer
1000000202,trout
100000020202202,front
10010,poynt
1001000000,shrub
1200000010,parry
00102,lingo
0010202001,biome
0200100000,label
020010000022022,lapel
11010,clapt
1101000202,start
1000100120,beret
100010012001122,greet
100010202000000,blush
10001020200000000000,goner
0000100020,vowel
000010002002021,golem
0001000101,guild
000100010102010,lusty
0000002010,batty
000000201000002,loopy
20000,outdo
2000011010,round
01100,alant
0110020002,audit
0020001220,lying
0200000000,gamma
1200001000,labor
00111,islet
001000200002220,civic
10002,prong
1000201101,forge
1000020100,corny
0000002220,moult
02110,bancs
0211022011,basic
02010,tonal
0201000021,salad
010020020012001,agate
0021010000,spicy
1101000110,spray
01011,knelt
0101100100,essay
1000000200,found
100000020021002,fjord
0001122200,spend
0100102020,began
010010202012020,kebab
0020001200,guild
0100010010,blush
010001001010000,aback
1000000121,motor
0100202100,alone
0200010200,blimp
020001020000000,hatch
1000100020,nebel
100010002000020,hyper
0000000200,thumb
1000000100,hydro
100000010001121,dowry
0000001100,outgo
000000110022110,ought
000010200010210,belch
0000010101,dutch
0010012010,pilot
0000111021,tweed
0000100022,comet
0200000101,tough
020000010110200,evade
02000001011020000100,jaunt
0100101010,enema
0001120201,steed
01020,slash
0102010120,abyss
1000001200,growl
0020002220,blink
002000222002220,fling
0000120120,dozen
1000202200,debts
100020220011000,erode
1000001100,world
0000202200,gouge
0020022200,karma
002002220010000,click
11200,bleed
1120020000,briar
1100100222,great
1100011000,altar
0000000110,pulpy
1000002002,blurt
0102000220,bench
010200022000010,coast
000001010122011,duchy
1010022200,groin
10101,vined
1010102020,blimp
101010202000100,fixer
100000020001100,group
20002,rogue
0200001000,godly
020000100000222,badly
110100020220222,smart
0010002012,pithy
020000100020102,gaudy
0020021200,model
002002120000002,chill
100010101010220,heron
0100000110,annoy
010000011010010,vodka
1010102220,focal
101010222020000,finer
1001100020,surer
22100,pound
2210001001,radio
2000222112,rouge
1000110010,perch
2000110000,retch
100020220001020,wrote
0000021010,awake
000002101000010,clock
0010212000,tilde
1001201100,store
1000222200,prove
1020002020,bring
00012,knots
0001200101,solve
0100111020,cheat
1020201100,grime
0000101002,exult
1001101020,usher
000010100001101,epoch
1120000002,triad
1100120220,break
20200,rhino
1110001100,viral
0010001200,conic
02022,humph
0202200100,masse
00110,shout
0011020100,sonic
0110011001,vital
1100202221,trace
0021000020,using
0100102110,peach
0100020011,champ
0200000222,baton
1100222200,brake
0000010210,pluck
1100202210,naval
110020221001000,craze
1020201020,gripe
110010011012220,weary
0010002002,pudgy
001000200220002,picky
0100200110,acute
1000100010,ferry
01212,aside
12100,tapir
1000001201,troll
0020000210,unify
20011,rebus
0002010210,boost
1002000201,truss
00112,siege
10101020200010002022,tiger
0001010000,slump
1100002021,crank
100020110102222,gorge
100010001001022,query
1020002022,drink
120000100002022,favor
010010101010001,abbey
0200001101,tangy
0210010110,panic
1101001100,solar
10212,shire
100000020001000,proxy
0020000222,point
2000010101,robot
1020002002,champ
102000200210001,prick
0010202200,wince
1020002000,godly
102000200000000,crimp
0000001020,knoll
1101000100,sugar
010001001000001,whack
0000002200,youth
000000220002210,mount
100010001002202,perky
1000000000,chunk
100000000000220,wrung
0010022010,light
00022,cloth
0002200211,those
00220,forth
0022002010,moist
1101000200,shard
0100111121,pleat
0100002210,dwarf
010000221000101,aloft
0021001000,skill
1000100021,unify
100010002100000,elder
110020220000100,frame
1000000020,furor
100000002002022,humor
0202201010,pause
1000110020,ulcer
110001100012201,ultra
20100,robin
0010001201,cynic
1100002200,aroma
0200020000,caulk
01012,thilk
0101202001,shake
0000202001,dodge
002100100020222,swill
0210010102,tacit
1000101120,other
1000000201,froth
100000020101211,thorn
100020220001010,trove
0000201010,beech
000020101021000,bloke
0021011000,spill
0100020010,chant
0000201000,choke
2000220012,rupee
0201010110,nasty
100000010000021,mourn
0100101020,ahead
102020100022202,brine
000002101000000,cloth
1100001100,myrrh
110000110000021,hoard
0001120202,sweet
000000200002000,month
0202200010,lapse
02000102000000002222,watch
0100000120,today
0001002000,focus
0001120222,smelt
0102200100,tease
1200110010,whack
120011001000110,cater
0010201001,movie
02012,thumb
0201210200,saute
0100002110,batty
010000211001000,allow
2000100000,renew
1010101010,their
0002022200,slosh
1000221001,purge
0002120001,chest
0000122002,depot
000010100000101,epoxy
0000000000,nymph
000000220201000,found
0101001200,shall
0001200211,stove
0000002020,whang
000000202010000,lowly
0001001012,snout
1000212200,trope
100010002002020,fewer
010100120022202,shawl
0200000201,natal
0100020111,comma
110000110001200,foray
11012,chant
1101210200,scare
11110,stair
0100012010,black
0101000100,squad
21000,royal
0000020200,chunk
001020220002222,mince
0101202000,dumpy
010120200000100,shame
0000101020,cheek
0100201100,ample
1110002200,flair
100010202000001,foyer
1200021000,cargo
00202,cloth
0020200100,opine
002020010020202,oxide
0100002010,blank
010000201002220,plant
0020202100,olive
1010101110,inert
0101110100,askew
00221,heist
0001001010,shown
0001110101,zesty
1102000102,trash
1200000000,hardy
120000000002200,larva
1000000110,forgo
1001001101,story
12200,unfed
1220000000,hairy
1110000210,train
100010202010000,homer
02002,gulch
0200210000,badge
0012011010,midst
0200021001,canny
0021200020,shine
000010200011000,gecko
12002,focal
1200220110,farce
0001000020,slung
0012011001,tipsy
0100112022,metal
0010112012,dwarf
001011201210000,yield
0000200011,delve
0020100020,being
1001001000,scour
0102012220,glass
1200111000,gamer
1101010110,scrap
0000100220,humph
000010022000100,money
0010202220,hinge
0100002012,album
0000012200,print
000001220000000,vouch
0101100102,asset
1110000200,tiara
1000120110,crept
0200001020,bayou
0100001210,atoll
120000110000111,manor
1100100220,flick
110010022000012,creak
0001001100,showy
0102200001,phase
0000122001,depth
0000001010,blown
000000101002200,gloom
0000001012,flood
111000020021210,trait
1010021001,girth
0010102010,piety
0002200200,feign
000220020001010,goose
0100002220,feign
010000222020000,float
1000000120,donor
0100200100,atone
1020002100,primo
1100001110,apron
0200020010,cacao
100110002010022,loser
0010001110,input
010000222000010,gloat
0100001010,unmet
010000101010000,awful
102000202202222,brink
0021200001,smite
0100102010,beady
20010,rusty
2000101000,retro
100000120002202,droll
020000100020002,gawky
0000010100,thumb
000001010011100,hutch
0010002220,pinto
100010012001222,egret
0110011000,lilac
1001100120,sever
001011201210001,field
0000000210,flunk
000000021022200,fluff
010020020012000,agape
0020210100,voice
0101100201,stead
1000100110,erupt
100010011011001,berth
020000000002110,madam
0010002110,night
010000201022220,bland
1010112020,liver
0000200001,wedge
2000010001,roomy
0200011000,wacky
0000011010,flock
1100001010,angry
1020201001,batty
102020100100120,trite
0110020000,aphid
1002000002,tryst
0010202020,midge
100010202000200,power
000020101001100,elope
0010002200,crowd
001000220020000,cinch
00000020000200022020,motto
0001011001,stomp
0001112102,upset
000000021012200,bluff
110000200101000,cramp
110001100010101,quart
0000022020,coyly
2000220002,rhyme
000000010001000,buggy
01201,alien
11011,humph
1101100100,smear
001000111012012,unfit
020000120010000,patty
0020022220,cling
0100101021,glean
000000010011001,hunky
0110000200,khaki
100010202000010,poker
100010002000022,gruel
0020210010,twice
0100000010,awake
010000001002200,twang
100100000022220,shrug
110010022202222,treat
0201210000,whelp
020121000020100,waste
101010101010121,merit
0000100120,clock
000010012000100,woven
0000112100,needy
000002101001000,clown
1010002200,irony
2000100101,ruder
0200221000,gauze
0020122000,chief
0001110102,onset
1020201010,prize
001000120000210,fungi
1100001001,charm
0000000120,feign
000000012000010,gully
1010101120,inter
0000001000,photo
000000100012200,whoop
020000010120200,taunt
100010001002022,leery
010201222002222,class
0000200000,theme
000000201000022,lofty
0110010001,tibia
0000202000,booze
010000201002100,alpha
000020000022022,thyme
0000002201,doubt
1200110100,parer
0000200200,chute
0021000001,stick
102020100100100,trice
01202,knoll
0120210010,alike
2100100020,recap
02210,saint
1000002200,glory
1100202201,grate
011002000220122,admit
10220,whelp
1022000000,brisk
0001002100,soggy
1001010000,usurp
0101011200,scald
1001001010,bench
100100101000110,scorn
0100201200,leave
0020200010,twine
002100002122220,sting
000000220002202,bough
12020,marsh
000100100121201,sloth
0200001001,dimly
020000100120002,dandy
1010011100,vigor
0000002001,dowdy
000000200102222,howdy
0000101100,enjoy
0210001100,valid
001000120002222,ionic
0100101022,equal
1000002220,floor
0200020200,catch
0101200000,spade
0011111011,stein
0022101222,exist
1020001002,quirk
0010101211,denim
1000202201,grove
00211,spiel
000000010001200,mummy
0200000100,fault
000000200002002,foggy
0000001110,flout
1200020000,carry
0101112200,sneak
0010122020,libel
020000010002011,waltz
010000101000001,aptly
0010102220,piney
0010101110,inept
010000221010100,aloud
110010022000000,dream
0101210020,stale
0020200020,unite
1101001200,snarl
1200110000,growl
120011000001000,baker
1000201000,there
0000000010,glyph
0000012000,notch
000001200002022,pooch
001000200210002,hippy
0001122220,spell
000000202000000,folly
0002201100,louse
0000010110,gulch
020000010002222,vault
0000002021,godly
100010012000221,threw
0000101022,fleet
110020220000000,grave
01102,inane
0001001000,chalk
000100100012002,shock
110020221001100,crave
0021210001,spite
0200200200,valve
002101000021200,skimp
0110002200,humph
011000220000100,claim
22200,rainy
000100010102000,musty
0010202000,crust
001020200000100,pique
020000100000202,daddy
01120,quasi
11222,arise
01200,alone
0120020020,aging
0200100100,valet
0020000200,opium
1100100212,avert
0001000001,stuck
2000110100,recut
000001011002222,mulch
1000201011,genre
000020021000021,plume
20102,rifle
0000022200,couch
000002220022200,count
1010001020,incur
010000112022022,total
1002100001,wrest
0100010111,mocha
1000100221,deter
000100010101001,study
10001020200000001000,lover
12011,safer
20101,dempt
2010101002,rivet
000000010011000,funny
0001210201,smoke
000000220201100,mound
0000210101,undue
0101101100,sedan
0200000002,pagan
002120002020222,swine
0020201000,guile
000100010122000,gusty
0010101010,equip
000000220002212,tough
0200200010,canoe
0101020200,chaos
000010002222022,covet
0100000021,human
100010002120000,udder
000001011002122,lunch
0102002220,focal
010200222000011,blast
1101000101,stray
020000000102200,manga
0000200010,melee
0000102001,pithy
000010200100102,lefty
0020010200,quick
020121000000101,paste
0010102120,given
000010002211022,octet
20111,risen
1100002210,groan
0100102011,leaky
102000202002221,grind
1200200110,carve
0002201200,loose
0201000011,sadly
0021011002,spilt
010020110020222,apple
0101012200,slack
000010022020000,honey
0110011010,final
000112020021200,sheen
10102,eerie
0010002222,minty
0021002000,slick
1000100011,derby
110000100001220,wharf
0100020110,coach
0011222022,singe
102020101022202,price
0101000210,spawn
1220000100,fairy
001000200200002,jiffy
0010012002,bumfs
001001200200110,filmy
0101010201,stack
0002220201,chose
0001121210,sleep
1100002100,embed
110000210000001,ardor
020000100100002,nanny
0010202100,niece
000000200002222,woozy
020000100110002,handy
1100202220,grace
0010002020,ditto
010100020122220,stank
110010022000010,cream
0101001100,usual
001020200102202,diode
120000100012022,valor
010020110020022,angle
0110010010,ninja
0000000101,dumpy
000000010112102,muddy
0102200011,chase
2000100020,reply
1000222220,prone
0011020200,spoil
1100100112,heart
010120200010000,shade
1010102221,diner
110100010010011,arson
002000021002200,onion
0001120212,sleet
0000120020,dowel
02020,spilt
0202011010,palsy
000010002002222,bowel
0021201000,smile
000020100000222,evoke
1000120020,creek
0200200120,lance
0200210100,eagle
0020000202,idiot
10111,miser
1011102121,siren
0020001202,bring
002000120220200,built
000011102010122,embed
1002001000,dross
010000101012000,annul
000000200102022,goody
100000020021010,frown
0210000111,patio
020011000002121,laden
0010001000,comic
001000100000220,humid
0020202020,elite
000000001001122,lymph
0020100101,edify
001000201010100,might
2001122001,reset
0011010002,visit
000100100111100,gusto
10022,vouch
1002200100,purse
1200001010,vapor
1000020200,drink
100002020002002,crock
102020100100020,write
0001000120,sunny
0100001110,loath
010002001022200,chaff
0021202000,model
002120200000111,slide
100010002001020,queer
000010220000100,venom
0101000211,stamp
1001002100,sorry
0021001001,still
1100001211,acorn
012002002020222,aping
0001020100,pushy
1200111010,tamer
120011001001100,hater
0100200101,awoke
1100002010,pound
110000201000010,brawn
0021000002,swift
002020100000222,exile
1010001000,birch
000001011002110,lucky
10001000200102000222,freer
20110,risky
0002010200,ghost
10201,draft
1020101000,plier
110000101011010,lunar
001000220010010,winch
1101200210,snare
100220010002222,nurse
0002200101,house
110000110000200,borax
1010102120,nicer
1000011000,lurch
0100111011,exalt
0100000210,outdo
010000021011100,about
0201000010,humph
020100001000000,savvy
001000111011001,toxin
0010001210,tunic
1020112000,pried
011001101001121,inlay
000002020022200,chump
020000100100012,lanky
1002120002,cress
1200120010,eater
0000200211,elude
0000200020,cycle
0010002022,dwarf
001000202200000,kitty
0000202220,boule
100000012002121,moron
0000102222,tenet
0100202220,place
000000201010002,lobby
0002012000,plush
0010012000,vigil
0010101121,index
000002021000000,clung
0100001012,qualm
100002020002000,croup
002002222022220,clink
002001020002220,juicy
0101210000,agate
010121000001212,stage
010010202002020,decay
1000201010,nerve
1020101010,flier
0101000202,shaft
1000020220,crook
010010102102222,clean
0120010020,china
2010222002,ridge
0000211000,ozone
000021100000212,gnome
0001000010,snuck
0020010220,icing
0021010020,spiny
2010021010,rigor
01110,snail
000000101002222,flown
2210000002,rabid
1002201000,prose
010000001000210,thank
00000020000200202002,poppy
0000200101,fjord
000020010100001,budge
101010202010100,fiber
0000002011,moldy
0000101120,kneel
1100022001,track
0200021000,caddy
000010100000220,quell
120011010022022,paler
1001201000,swore
210010002022020,rebar
0101010100,scuba
0101001112,splat
100010002000021,flyer
100000010021011,horny
0201001110,mason
0020000220,doing
0100001011,amply
110000110020100,molar
110000110001020,ovary
000111010200222,beset
0000200100,queue
002002220000000,cliff
0210010100,magic
1000202000,truce
1001011002,sport
1020012000,fritz
0020110001,edict
1020021000,twirl
1002220000,verse
0100002011,llama
0200110200,eaten
22002,range
0022000001,whisk
000010002012022,hovel
2100110020,rehab
0200010000,macaw
0111020110,sigma
0001011002,spout
100020100000112,verve
0011021010,sushi
002000022020222,dying
0010101012,fetid
111000021002222,brain
000000010112002,buddy
000000020022220,thump
0021000010,scion
020002100122202,candy
100002020011000,chord
0211022101,basin
1200010100,march
100002020012000,crowd
110000210000200,arbor
020000100020022,gayly
0001000100,haulm
000100010000101,musky
0111021220,stain
020000100000122,dally
0002102002,bless
110000210000100,bravo
0001000021,stung
001021200022102,title
2000100110,ruler
0012010200,kiosk
000000101202202,blond
0010101210,ennui
1200110001,layer
0010011000,fluid
020000120020000,tatty
1001201010,score
0010201000,cutie
1100110110,zebra
1200200010,barge
0200100200,matey
100010002000121,bluer
11101,aider
000100100002002,shook
2010101000,river
102000200000002,privy
0000102021,betel
102200000002222,frisk
000000200022000,bongo
0000102100,melon
000010210002002,begun
010020020010010,weave
0010201210,genie
0001002020,sound
000020101001000,glove
1110000202,braid
0001200201,scope
1000001000,wryly
2000102000,growl
200010200001100,rover
010100010010020,assay
010010102000220,ocean
000000101022200,bloom
11102,irate
120011001000100,later
000010012000101,woken
0011020000,silky
100011001001120,wreck
0000121002,dwelt
0101210010,slate
0101010200,humph
010101020000100,smack
001102010022020,solid
010020020010000,amaze
0200100001,hazel
1022020000,wrist
00000020200000002222,jolly
000020101011000,globe
0020002222,flint
20022,rouse
001001200012022,civil
0111010110,vista
2100100220,relax
1000122020,serve
100012202001110,cover
0120200010,alive
000010200010010,beech
000010200100202,jetty
0022000000,bliss
010001112012000,vocal
0000100121,often
000000202102122,dolly
001010201002110,eight
10001020200001002222,joker
0011222002,since
0000101112,event
0001202001,ensue
0001000022,shunt
1010112021,diver
1001100021,poser
1002002002,worst
0001121200,sweep
0100101011,alley
1000120022,creed
0120202000,anime
010010201122202,leafy
000100200002001,bosom
000021010111102,dunce
1101200201,stare
000000010112012,pudgy
02202,waive
101000120010210,choir
000100100122220,stood
000121020120222,spoke
0100102021,delay
0010212020,bilge
01101,ideal
010200222000111,clasp
0021200000,seize
000000202001000,hotly
020000000012000,laugh
0011222202,sieve
000001101002222,block
010011201002210,meant
110020220000020,grape
000220020001001,noose
0021120220,shied
1100002000,delay
110000200020110,drawl
02220,daisy
000000010001010,putty
1001000002,strut
1000000002,burnt
0010011010,tulip
102000200220000,crick
0010011001,idyll
001010212002122,vixen
000010200000002,geeky
000002220022202,cough
0220202222,naive
010100110001022,shoal
1001001001,stork
0200200001,bathe
010000001020000,aunty
000010100002200,check
1020201110,prime
1102000000,brass
1000101220,outer
100000000000100,furry
22000,lohan
2200001010,razor
0000101012,elect
0020110000,evict
0010011002,imply
100010001122100,demur
010000021012100,quota
0200110001,haven
0210021100,cavil
1101100000,swear
1000020000,parry
100002000010100,crump
000000220122200,dough
020010000002022,gavel
0200000022,wagon
0201001111,salon
0000220101,nudge
120011100002121,harem
001000201000012,pitch
100100101000100,sworn
001001100001120,pupil
000010102010120,excel
0001001121,stony
0210020100,cabin
0010001100,unzip
000010112001220,queen
000000201000001,polyp
1200120020,earth
100100100122220,storm
0010011110,until
1200110210,taper
1000100220,enter
002002120000101,child
010000021010110,adopt
1010001100,minor
02000012001000002222,fatty
000100010020100,husky
110022220022202,brave
0010112020,filet
002120200010011,slime
002000222202222,glint
1100100221,tread
0101100211,steal
2100100120,regal
0002100011,guest
10001000100102200222,every
100000000000101,murky
1101202200,share
1001211000,spore
0022002011,hoist
000000110012000,buxom
1010101220,inner
100010122020222,otter
001001200200200,dimly
0000102020,bevel
000010202002222,level
010101010021101,sumac
0000002101,donut
0021001002,stilt
1100100210,arena
000112020220222,sheet
100100000020222,scrub
0200011001,fancy
002100200022200,slimy
1100101110,pearl
001102000022202,silly
1000010100,porch
001000220000101,dingo
01111,sepia
0100211100,amble
0101000200,shady
110012022022220,bread
1120000000,friar
20201,reign
1220000001,dairy
002000120002220,quill
1002021000,cross
1000000220,embed
100000022000102,brood
100010012010121,tuber
1101110000,shear
0011010102,posit
011001100012210,villa
010100020022200,shank
001000200220022,piggy
110010022020002,freak
002001020000220,which
0100000211,among
0100102022,decal
010010202202222,fecal
0001120220,shawl
000112022022002,shell
0000002222,would
010020210022002,algae
1200200011,large
2210000000,rabbi
010000021010000,agony
0102201000,amuse
000100010010100,bushy
0002220100,copse
000100101020212,swoon
0020200000,knife
000001220020000,pouch
0101010102,ascot
0100202200,dempt
010020220001010,plane
100002020002010,crown
110000201000110,urban
0021200010,snide
2100101220,relay
0120200000,abide
011001100012010,viola
2200000120,rajah
110100010122220,straw
001001200200000,dwarf
00100120020000020000,dilly
1102000012,crash
0102010220,amass
102002100020220,third
1020022002,trick
1000000021,thumb
100000002120100,tutor
000000200102122,woody
1000002000,blurb
1020102010,grief
0011010100,disco
100020100002222,where
0202020000,sassy
010010201022200,beach
0201000110,sauna
000011002000121,clued
100012002022220,creep
020121000000100,caste
11002022000000022202,graze
000100001022200,snuff
1000010200,frock
010000012002120,gonad
100000000000222,drunk
100000020001020,prong
1010001010,lurid
0001120211,steel
0200200201,halve
100010002000120,buyer
0010012201,vinyl
0020201010,utile
000112022020002,smell
010020020011000,adage
100000010001021,worry
0201020010,tasty
010001112022000,local
110020220102212,trade
001000220010000,finch
010110110011012,ashen
0100001121,modal
020000010110210,gaunt
000020101001010,clove
0100111010,enact
1100001210,adorn
21020,roast
000112220022200,speck
0011111010,sheik
0012010010,missy
100000000201122,grunt
0001011010,snoop
1200000011,party
000001220000001,touch
021000010022022,mafia
000020000000112,emcee
110000200000022,array
0001002001,south
0210000110,vapid
000010200000202,jelly
0001000000,shuck
000100000020202,skulk
0102000120,angst
0100001020,tubal
10001020200020002222,lower
1002120001,crest
0101100202,sweat
100012002021020,cyber
110020110020022,adore
1200000001,tardy
0111020210,swami
100000022001000,groom
2100022010,roach
001000201020002,hitch
000000220022200,young
0120022010,align
2100101010,ready
100000020021022,frond
1101000111,strap
1000221000,puree
2100100110,realm
0000210100,venue
110100020020220,swarm
1000101020,offer
0001120100,seven
100010002100001,dryer
1110000201,diary
100000100002222,dryly
1100002020,bifid
110000202000001,drank
1110000102,acrid
010010201002222,heady
0100121010,theta
000000110002102,junto
001020200000000,pixie
000000110012100,quoth
0001002010,bonus
0101001202,shalt
0000210000,perch
000021000022000,penne
010010101001211,amend
0200000200,datum
002000120002222,build
0110000220,piano
000112022022001,shelf
0000202011,lodge
002100002011222,suing
210010001022200,rearm
1100001101,coral
22001,marry
2200112100,ramen
100000010100000,worth
0101001210,psalm
101010112022022,infer
1000101110,overt
120000110010110,mayor
001000100001020,ovoid
0020202000,glide
010120000010202,usage
00222,poise
2200000011,randy
000002020022202,chuck
110000202000000,prank
0011011000,fishy
000000200002200,tooth
100010012001121,ether
100020220021000,drove
1010101021,idler
010100020121200,swath
0021000022,stint
0020201001,while
0100112020,begat
010000101000000,apply
0101002200,slang
1200001002,tarot
2200000020,radar
1000121011,credo
1100201200,glare
110020120000222,aware
0200020022,canon
002100000220222,shift
101010202000110,timer
010000102000121,bylaw
1001100100,serum
100020100022112,three
0101110201,steak
0120012000,iliac
000000021002220,blunt
000000010001020,puppy
0100102122,penal
002200201002222,joist
00000001001100002222,bunny
010120200000020,shape
0000102022,beget
000010102002220,wheel
0100111110,adept
000100002220222,stunt
000120021122202,stole
010000012022020,topaz
1000201200,chore
000020021000000,fluke
010000021010101,afoot
010000222000000,bloat
000000012000000,bully
0002200000,dense
120011020002222,caper
1001100220,sneer
10001020200000020000,boxer
000000110002002,jumbo
0000210110,lunge
010120000022202,space
0110021200,avail
1001001002,short
100101000001222,slurp
010000112002022,loyal
1020011000,flirt
0110010000,pizza
0000022000,conch
000010200110100,tempo
100000022000001,droop
010020220001011,plate
001021200002102,bible
000000021002222,plunk
010000121020202,afoul
0201001010,savoy
0001121201,steep
0120200020,agile
0101210001,stake
0000121000,dwell
010020020100212,knave
1100120110,beard
11022,arose
0010001010,optic
001000101010220,motif
0102020222,trawl
010202022200200,smash
101000220012200,broil
000120020120202,shove
020000100010002,baggy
020000100000002,humph
02000010000000200200,mammy
010100021021210,swamp
010000221000100,along
2000002000,rugby
120011000011010,wager
010001001000100,quack
0101000102,squat
010100020020202,snaky
0010101011,debit
020021000002022,mange
010121000121212,skate
001000222002220,ninth
0002010100,joust
110002200022200,tramp
1001010010,spurn
010010202212022,medal
101000110022011,micro
2000100010,prove
200010001001001,rebel
010000201002222,flank
110010111002221,learn
1210002022,nadir
0200200100,thumb
020020010000010,maple
000002200022000,comfy
2010102202,remit
100000000000200,gruff
100110012011022,ester
01021,lofty
0102120010,least
0000002110,mogul
000010200100210,fetch
0202201000,cause
0200111000,oaken
010000111011100,aglow
010011201002220,meaty
0200220000,gaffe
0001000200,shyly
2200102110,racer
100000120002222,prowl
0020102000,thief
1001100200,stern
0002100101,poesy
2000010000,rocky
000010102200222,tweet
0222002220,waist
1021220222,spire
1000212201,grope
0200010020,havoc
0202011001,patsy
1000001001,truly
100000010100012,forty
002010010111202,deity
0000210120,uncle
0022000002,swish
101011202002222,giver
100010002011020,preen
100010001002100,lemur
1100012000,draft
000120020120222,slope
0010022200,lingo
010010102102220,bleak
001000202220000,ditty
1000021000,curly
1100100120,cedar
1010200212,dirge
100000020001010,grown
1000201100,force
100020110002202,horde
1000001220,drool
1000020002,crypt
001000110011020,cumin
000100100122200,stock
110000200000012,gravy
000100200002222,locus
1010102021,wider
1000100022,feign
100010002201000,breed
002020002010222,quite
0100200210,chafe
0200200011,cache
0020002200,blimp
0020100011,deign
0010102112,fiend
0010021000,logic
0100101120,cheap
002020200002222,elide
2010020020,rigid
0202200000,false
210010012022022,renal
000021000022020,pence
2000010020,rowdy
000100100200101,shoot
0100222200,model
010022220000011,blaze
000010110022022,envoy
0002200100,posse
102010201002222,brief
100010002022020,never
1100011200,abort
000220010002022,mouse
000001010000110,mucky
000100010000110,sulky
1010102010,fiery
0110111110,media
1000000001,thrum
100000000120110,trunk
0102100011,yeast
1100102220,clear
000100002020220,skunk
0101011210,scalp
00100020220000002222,bitty
101010202102222,cider
010000111012200,koala
0000120022,duvet
0001200001,segue
100020200002012,creme
100110002110122,super
102000200020020,grill
1100100111,terra
110010011111101,after
100010102020022,owner
100010002001220,ember
2100110010,reach
000000202000010,nobly
0000101001,empty
000112220022202,speed
0012010001,gipsy
200011010022220,recur
000100100010002,smock
11001002200000022220,dread
1000201001,merge
1002000102,burst
020000000002002,kappa
0120020000,amity
010100020022202,shaky
10001020200000000001,hover
120002100022201,carol
1001001012,snort
0001001110,synod
02200,feign
0220020201,faint
020000010110201,haunt
100000220002210,flour
111000020001210,chair
000012200122010,detox
1001112020,shrew
0002200010,tense
0020100002,plied
110000100000220,quark
100000100001022,burly
000010012001100,novel
020011000002120,waxen
0011020201,stoic
10001000100220202222,jerky
0020002201,blitz
000010200000012,beefy
101000100001210,lyric
0002010001,hussy
000010002122020,towel
002000120200200,quilt
000010200001210,below
001000220000100,bingo
0011010000,wispy
1102000002,brash
0001201201,scone
010200022000000,toast
02011,easel
020100001001000,saucy
0200201200,value
002121000022202,spice
100000012002222,honor
2000222012,route
1101000210,sharp
020000100000102,bawdy
2210000001,radii
000100000020201,skull
000000100022200,phony
0011211002,issue
120011000011001,lager
000112022020012,swell
102020100002202,urine
0202010000,gassy
1120001000,trial
1100001200,flora
10001000200002000222,upper
020001020001000,latch
001000201010000,dwarf
00100020101000001000,wight
102000200210000,brick
200010000022000,retry
00000020200100022022,holly
110200000002222,grass
010101020010000,shack
0100000111,dogma
100010202020000,mover
100010002100010,defer
100110002020022,sober
1020102000,crier
002000022000222,vying
0100000121,nomad
000020021001000,flute
001000200002000,hippo
110100020022220,shark
1020122000,drier
000220010001022,obese
0000200120,bugle
020000110122102,tawny
0100021010,chalk
0102100110,feast
2000002020,ruddy
010010212222022,pedal
1101010200,scarf
100012002022020,cruel
