,roate
1001101020,tiger
0000022020,slump
1020000110,crank
1200220000,gorge
1000101100,query
1000000002,drink
111000202002000,favor
0010101010,abbey
0011000011,tangy
0010000021,panic
12100,balms
1210001201,solar
1000201001,shire
1100002000,flick
110000200000000,proxy
0201000011,point
22010,robot
1000001002,champ
100000100210001,prick
0000200110,wince
1000001000,crimp
0100002202,knoll
1010001101,sugar
002000002200001,whack
0201001101,mount
100010200020001,perky
0200001210,could
1000000200,wrung
0001001002,trawl
000100100210001,light
01012,slunk
0101210000,those
0201000110,moist
1020010001,shard
0011101122,pleat
0111002212,aloft
0000021200,awake
000002120000010,skill
1000101021,elder
102020220000001,frame
1100001000,afros
110000100000120,humor
0010202201,pause
100010012001022,ulcer
1011012000,ultra
2200000000,robin
0000000101,cynic
1110011010,aroma
0010010000,album
001001000011010,caulk
0020220000,drink
002022000000001,shake
0200210000,dodge
000002120002000,swill
0011010102,tacit
11011,other
1101001201,thorn
0100202001,bloke
000000010000022,vivid
000002120000000,spill
0021000020,chant
0100200011,choke
20002,seedy
2000201100,rupee
0012010012,nasty
1200001100,mourn
100020100000012,brine
01020,chunk
0102021000,cloth
12200,hoard
0001120222,sweet
02020,bushy
0202000010,month
0010202011,lapse
001101000100002,watch
02110,panel
0211001000,today
0200000100,focus
0001121202,smelt
00212,gleek
0021200110,tease
1011110020,cater
0200200001,movie
0012201100,saute
0110010020,allow
2000100021,renew
1001111000,their
0100020201,slosh
1000220100,purge
0001110202,guest
000111020200222,chest
01011,besot
0101102022,depot
010010101022200,epoxy
0000000011,nymph
02000002100000002222,found
0020021000,shall
0101220000,stove
020000100210100,lowly
0101001100,snout
1101222202,trope
1000122020,fewer
002002100022202,shawl
0011001011,natal
0210000210,comma
1210001000,foray
1020211201,scare
1021001101,stair
0020002022,bluff
002000202222000,black
0010000100,squad
22100,royal
0000000000,hanap
000000000010100,chunk
000020011002222,mince
0020220020,shame
0000100020,cheek
0010211020,ample
1020001000,grain
102000100001220,flair
120010000000101,foyer
1110002110,cargo
0100200200,opine
010020020020202,oxide
0021002020,plant
0100202200,olive
1001111100,inert
001010101020020,askew
0001110102,heist
0100021200,shown
00021,plesh
0002100110,zesty
1021002001,trash
101000220002202,larva
1200000000,forgo
1101020201,karma
110102020100100,story
1010002020,dwarf
101000202000120,hairy
1021002100,naval
102100210011000,train
1200110000,homer
0010202000,hinge
001020200000022,badge
0001010002,midst
0010001001,chang
001000100120120,canny
0000220220,humph
000022022010000,shine
0100102010,gecko
1010210000,farce
0000022000,slung
0001010001,tipsy
0011100121,metal
0000102110,dwarf
000010211010000,yield
0000201000,seedy
000020100002010,delve
0000101011,eking
000010101110222,being
110000100000111,scour
0020012000,glass
1010102010,gamer
1010011201,scrap
0200101200,humph
020010120000100,money
0000200111,hinge
0200000200,piccy
020000020000020,vouch
0011110012,asset
1021001100,tiara
1001112000,crept
0110000020,bayou
0111001211,atoll
1110022021,manor
1010101000,cedar
101010100021021,creak
0100020200,shock
010002020022200,showy
0020210001,phase
11020,froth
0002110102,depth
0100000221,bloom
010000022102222,gloom
010000022102220,flood
102100210001000,trait
10020,midge
1002002010,girth
0002120200,piety
0200220100,goose
0111002222,float
1200000210,donor
01112,atone
1100002200,primo
1110001022,apron
0100001201,cabin
010000120100102,blown
0110000010,cacao
1200100001,loser
0001000112,unfit
000100011212012,input
011100222202222,gloat
001001000021020,awful
100000000202222,brink
00022,muils
0002210201,smite
0020100001,beady
20020,rusty
21011,retro
1100002001,drool
110000200122202,droll
001000100002012,gawky
000100110100000,hutch
0102000010,pinto
1001121020,egret
0010020010,lilac
1000102020,naval
100010202000200,sever
000010211010001,field
000000200022200,fluff
0020200001,agape
020020000102112,voice
0011120021,model
001112002100110,stead
10021,berth
001000000002110,madam
0001001012,night
0020002000,lying
002000200010020,bland
100010002002000,liver
0000200001,shrub
000020000100000,wedge
2200000002,roomy
001000100012002,wacky
010000020102010,flock
1010001020,angry
10022,trite
001000002020010,aphid
1001010002,tryst
0000200101,midge
1200100200,focal
120010020002000,power
0100202000,glove
010020200002202,elope
000000010020010,cinch
0202000000,motto
0101010000,stomp
0001110022,upset
000000200012200,bluff
102000010011100,cramp
1021001000,quart
020000100200110,coyly
0202001011,youth
2000201001,rhyme
000000000200001,buggy
0010101111,alien
1010101011,smear
0012001002,patty
000000220002210,cling
0010121121,glean
001010101210000,label
000000000201010,hunky
0020000101,khaki
1200100010,poker
1000100220,gruel
0001210200,twice
002100002000221,twang
100002010022220,shrug
1011120200,treat
0012200100,whelp
001220010020100,waste
100111100010121,merit
0200120100,karma
020012010000000,woven
000010001102100,needy
010000120120002,clown
1100002120,irony
2000100022,ruder
0010202200,gauze
0000101020,chief
0101101212,onset
100022100002020,prize
000000010002010,fungi
102000010011020,charm
000000100200022,gully
1001101120,inter
0100000220,whoop
001100002220200,taunt
100010200001000,leery
0020012010,humph
002001201000000,class
0001200001,theme
0202000002,lofty
0011000101,tibia
0200200000,booze
001001000022000,alpha
000120000122022,thyme
0201001000,doubt
10101020000200022022,parer
0002201000,chute
0001020001,focal
000102000100100,stick
10012,birch
1001201120,trice
0010201010,alike
2010111000,recap
0011000222,tipsy
001100022211010,saint
1100021000,glory
1022201010,grate
001100010220122,admit
1000010002,brisk
0200000002,gamps
020000000210001,soggy
1000010200,usurp
0020021010,pride
002002101000010,scald
1100001010,bench
110000101000110,scorn
0020201000,leave
0001200200,twine
000102002122220,sting
0200020200,bough
1010002201,marsh
0102001000,sloth
001000100100110,dandy
1100011100,vigor
0200000022,wight
020000002210010,howdy
0100101021,enjoy
0010010020,valid
020000000010000,ionic
0010101022,equal
110000100001120,floor
0011020001,catch
0020220001,spade
0001120201,stein
000111010201222,exist
1000000102,quirk
000010101110110,denim
110020020011000,grove
0000121120,spiel
0000000022,grade
000000002200000,mummy
0011001002,fault
020000000210000,foggy
010100100000222,flout
1010022220,carry
0010101120,sneak
0000102120,libel
0012000000,waltz
0011001001,aptly
0000102021,piney
0001100202,event
000110020200212,inept
011001001010011,aloud
0102002000,photo
1010101010,dream
0021201100,stale
0002201200,unite
1020000001,humph
102000000100000,snarl
1010122000,baker
1001200101,there
0000002001,glyph
020000000011000,pooch
000000010210000,hippy
0000120110,humph
000012011000010,spell
020000100200200,feign
02000010020020020000,folly
0200201110,louse
0000001000,gulch
001100100202222,vault
0200001012,godly
100110102020021,threw
0001102222,fleet
102020221011000,grave
002020000010120,inane
102022220001100,crave
0002200201,spite
0010202010,valve
0000020220,skimp
0020002110,claim
20100,child
2010000200,rainy
000200000120000,musty
0000200100,mimic
000020010002000,pique
001000100002202,daddy
0020010100,quasi
1010220001,arise
0010000011,aging
0011100212,valet
0100000100,jumbo
010000010001101,opium
101111020001212,avert
0001020201,spicy
000102020120020,stuck
2001101001,recut
0000001010,mulch
1000200000,genre
000020200002222,plume
2000201000,rifle
0201021001,count
1000001100,curvy
100000110011100,incur
0211001002,total
1001112001,wrest
0210000110,mocha
1001111020,deter
000102020120002,study
120010000000110,lover
1010102001,safer
2001100010,rivet
000000000200020,funny
0100220001,smoke
020000021000010,mound
0000200010,perch
000020001001000,undue
0010102120,sedan
0010000002,pagan
000022022000000,swine
0000201201,guile
000200000100000,gusty
0000101010,equip
020100100002201,tough
0110202000,canoe
01200,chaos
0201100010,covet
001000000200022,human
1000100121,udder
000000100002122,lunch
0021012000,blast
1011000022,stray
0010000001,manga
000020100002100,melee
0002101100,lefty
0000000200,quick
001220010000101,paste
0000102022,given
0101101012,octet
2000100121,risen
1110001012,groan
0020100010,leaky
100000000002221,grind
101021000002212,carve
020020011012102,loose
0010011100,sadly
0001020002,spilt
0010201020,angle
001020102020022,apple
0020022022,slack
020010120020000,honey
0010010011,final
0000120022,seven
000012002221022,sheen
100020100000002,eerie
0002002200,minty
0000022200,slick
1000102001,derby
1020000000,prawn
102000000001210,wharf
000112120220222,spelt
02200,loamy
0220002200,coach
1001122000,erupt
0000220111,singe
100022100012000,price
0020020000,smash
002002000020200,spawn
101000202000121,fairy
000000010200000,jiffy
0000001122,filmy
0021020002,stack
0100210010,chose
0000120120,sleep
1110001020,ardor
001000100100120,nanny
000020011002122,niece
020000000200000,woozy
001000100101110,handy
1020212210,grace
0102000000,ditto
0021020022,stank
101010101002222,cream
001001010010120,usual
010020010002202,diode
111000202012000,valor
001000001110110,ninja
0000000012,muddy
2000111011,reply
1100220220,prone
0100020202,spoil
10211,heart
002022000010000,shade
1000100021,dinic
100010002122200,diner
111000102220122,arson
0100002120,onion
0200110010,dowel
020000020000120,couch
001001110012012,palsy
0200110000,bowel
0000221200,smile
0100200001,evoke
1000101020,creep
100010102022220,creek
001020201002102,lance
0010202020,edify
001020202020000,eagle
100010002012001,siren
0001000102,bring
000100010220200,built
000010002000120,embed
1020010000,grand
102001000001202,award
110000200122200,dross
001001000101202,annul
020000002200100,goody
1100002010,focal
110000201021000,frown
0111000111,patio
001010111111022,laden
000000011000220,humid
0002200210,elite
0000001011,lymph
000010101020010,edify
000100100210000,might
2001100200,reset
000101000202012,visit
0102000100,gusto
1000220101,purse
111000202002200,vapor
110000200000022,crock
1002202222,write
0000020002,sunny
02220,loath
002000001022200,chaff
0000222200,model
000022220000111,slide
1000101120,queer
0100102121,venom
002102000020201,stamp
1200000002,blush
120000000200010,sorry
000102000100002,still
1110001112,acorn
001000001120222,aping
0000010002,hopak
000001000210100,pushy
1011120020,humph
101112002000200,tamer
101111002002222,hater
001000002102220,mania
0110201100,awoke
102000000002222,brawn
000102000220202,swift
0000201200,exile
100000100011100,birch
00000010020001202102,lucky
1000121020,freer
20000,rugby
2000020002,risky
0101000001,ghost
100010002001010,plier
1010001100,lunar
000000010010010,winch
1020201201,humph
102020120100000,snare
1000200101,nurse
0200201100,house
1210021000,borax
100010002022000,nicer
1000001110,lurch
00211,enols
0021120020,exalt
0111010212,about
001000110020002,savvy
0201000022,toxin
0001000111,tunic
1000100022,spicy
100010002201200,pried
0010011011,inlay
0000000020,chump
0010021001,lanky
1000101000,cress
1011110120,eater
000020200002202,elude
000020100001001,cycle
0002002000,batik
000200200000211,kitty
0200201020,boule
1200000100,moron
0001100122,tenet
0020202001,place
0200011002,lobby
000001200002200,plush
0000001100,vigil
0000101021,index
000000220002202,blink
000000200002220,clung
0020001000,qualm
110000200000010,croup
000000220002212,clink
000000020210202,juicy
0021210100,stage
001010202002020,decay
100020000002112,nerve
100012002002200,flier
110000200000012,crook
0010101121,clean
001000001110220,china
2000201010,ridge
020011000002222,vowel
0100200000,ozone
010020000000212,gnome
0000020000,skunk
000002000020212,snuck
000000020000210,icing
000002020200100,spiny
2100020101,rigor
0020021100,snail
010000120100002,flown
2010000102,rabid
1100220201,prose
0021000022,thank
020000000200020,poppy
000020000100011,budge
100012002010100,fiber
0200001022,moldy
020000002210000,dowdy
0000100121,kneel
1021012000,track
001000100022202,caddy
000010011010020,quell
000000001212102,dumpy
1010102200,paler
1100200201,swore
2010101000,rebar
001000010020210,scuba
001100100201012,splat
100012002002000,flyer
1200000102,horny
0110000121,mason
0200000010,doing
001001100001112,amply
1210001210,molar
11200,ovary
0001110122,beset
0000200000,emcee
000020000010002,queue
000000220012210,cliff
001000002011000,magic
1001200120,truce
1101020202,sport
1002001000,fritz
0001100102,edict
1001000001,twirl
100020000112212,verse
002000200020000,llama
0011100011,eaten
20102,range
000001020001200,whisk
020010000002120,hovel
201010100022120,rehab
001000000002100,macaw
0010000110,sigma
0101011000,spout
100020000002012,verve
0000020100,sushi
0000000201,dying
0001100101,fetid
102000100002222,brain
000000000200000,buddy
000100220122220,thump
0100021020,scion
001000100120110,candy
110000100200001,chord
0010000222,basin
1010012200,march
1100002002,rebut
110000200210000,crowd
111000102022022,arbor
001001100002102,gayly
0000010012,musky
0021020110,stain
001001100002202,dally
000011011002220,bless
1120011210,bravo
0001020221,stung
000120010022102,title
2000101022,ruler
0100010200,kiosk
010000120100101,blond
000010101120110,ennui
1010102100,layer
0000002100,fluid
00120000020001002222,tatty
110020020120222,score
0001222100,cutie
1010111000,zebra
1010211000,barge
001110001102220,matey
100010022001221,bluer
101010100001212,aider
0100020220,whack
010002022002002,shook
2000100122,evade
200010012211000,river
100000000002200,privy
0001101121,betel
100001000202222,frisk
0200020000,bongo
0000100012,begun
1010220010,azure
002020000010000,weave
000020011101212,genie
020000021000001,sound
1020011000,braid
0100220010,scope
1000000020,digit
100000002000000,wryly
22001,wedge
2200101000,rover
0010001200,sassy
001000120011202,assay
01101,ocean
1022201100,irate
1011110021,later
020012010010000,woken
0000021102,silky
100010100012200,wreck
0001101202,dwelt
0022221101,slate
0020020022,humph
002002002200100,smack
0200001010,solid
0020200010,amaze
001010101210001,hazel
100101000202022,wrist
02000010020020000000,jolly
010020200022202,globe
0001000022,flint
2200222012,rouse
000000110012022,civil
0012010100,vista
2010101200,relax
120010000020110,cover
001020101022202,alive
0000100010,badly
000010001020000,beech
0002100100,jetty
0000012200,bliss
021001002002222,vocal
0101101011,often
020000101202122,dolly
000110010220102,eight
120010001002222,joker
0000220110,since
0000210010,ensue
100010002122000,diver
120010000102222,poser
0000120020,sweep
0010101011,alley
1000101022,bench
100010102201010,creed
0010211000,anime
002010001022202,leafy
020002000022000,bosom
000020001001020,dunce
1021211202,stare
000000000220001,pudgy
001020200001002,waive
110000110010210,choir
010100000001021,stood
010022000120222,spoke
010100200022202,outgo
0010102021,delay
0000201101,bilge
001010102210022,ideal
002001201000010,clasp
000022020020202,seize
0010020000,laugh
0000220100,sieve
010000020122000,block
0021111000,meant
102020221001100,grape
0200200100,noose
101000220002200,hardy
0000121020,shied
0010001110,daisy
0002000000,putty
1001020102,strut
1001000102,burnt
0001000101,tulip
100000100220000,crick
0000001101,idyll
000010202202122,vixen
110000100001220,furor
000010001000002,geeky
020000020000100,cough
001020200001102,naive
0110010011,shoal
110102020110100,stork
00112,bathe
0012000012,aunty
000010001000000,check
1000221020,prime
1020000002,brass
1101121022,outer
1000000100,furry
0001102202,elect
000110010220222,evict
0000001112,imply
1000102101,demur
01120,quota
001010111010122,haven
001001002012120,cavil
1010101001,humph
101010100100000,swear
1000001200,crump
020000021010000,dough
0010121012,gavel
0110000120,wagon
0110010121,salon
0000200011,nudge
101010201002121,harem
000100100110100,pitch
110000101000100,sworn
000000110000022,pupil
000010012001200,excel
0101000100,stony
0010000022,cabin
000000010001120,unzip
0000100022,queen
1101000222,trout
0200001001,polyp
10121,earth
110102020100110,storm
000100011111120,until
101112002000010,taper
1001121120,enter
000000120000111,child
0111000212,adopt
1100001110,minor
001200000220010,fatty
000001000220001,husky
102020220010001,brave
0001101022,filet
000022220010011,slime
000100002202222,glint
101112020022220,tread
0011120121,steal
2010101100,regal
1000101010,every
1000000101,murky
102020120110000,share
1100210201,spore
0201000010,fresh
020100001000021,hoist
0100000020,buxom
100010002011000,inner
1101122022,otter
000000111211022,dimly
000010012002000,level
001000010020120,sumac
0201001001,donut
000102000220222,stilt
101010100001011,arena
000112022220222,sheet
1000022100,scrub
001000100110110,fancy
1020100010,pearl
000002110222202,silly
1200010000,porch
0100001100,dingo
0010102010,sepia
001021102022022,amble
002002000020201,shady
101012100022220,bread
101000111002222,friar
2000100211,reign
101000202020120,dairy
000000120000001,quill
11000020000001022200,cross
110000200210100,brood
100110102020022,tuber
101010100110000,shear
0201000020,posit
0020002002,bluff
002000200222000,blank
0010010010,iliac
001001001011010,villa
0020020002,shank
00000001022000022002,piggy
101010100001021,freak
000000020000220,which
0110000110,among
0010102022,medal
001010202202022,fecal
000012011010000,shell
020000121002222,would
001020101022002,algae
1010211100,large
2010000100,rabbi
011000011020221,agony
0010211201,amuse
000001000210000,bushy
020020010002022,copse
0100021220,swoon
0000200210,knife
020000020020020,pouch
0111000112,ascot
002020200122202,plane
110000201001100,crown
101000110001121,urban
0000220210,snide
2010101202,relay
0010201000,abide
0110012010,viola
2010001000,rajah
1011000120,straw
0000001102,dwarf
000000110220000,dilly
1020000101,scarf
102000010111210,crash
0020010000,unmet
002001000000100,amass
100100000120220,third
1001001001,trick
1101000111,tutor
020000002220000,woody
1000000210,blurb
1000110020,grief
0100010100,disco
100020000001022,where
002011100002222,beach
0010000101,sauna
020000000020001,comic
000010012001100,clued
0012200110,caste
102020221001000,graze
000002000020210,snuff
110000200020022,frock
0210000021,gonad
1000000202,drunk
1100012020,prong
1000000110,lurid
0001121221,steel
001020201002222,halve
100010012002022,buyer
000000110110102,vinyl
0001201200,utile
000012011000100,smell
002020000020001,adage
120000000200000,worry
0012010002,tasty
0210020020,local
1021222202,trade
00000001001001002222,finch
0210010120,modal
001100002210210,gaunt
0100202010,clove
0021122000,enact
111000101201212,adorn
22210,roast
000012001020200,speck
0000121010,sheik
0000010112,missy
100100020200212,grunt
0100022220,snoop
10120,party
0201011000,touch
001000002010100,mafia
101000120000220,array
0202001110,south
001000002010010,vapid
000010021002222,jelly
0000021000,skulk
0011000012,angst
001100100110110,tubal
120010020002001,lower
100111200102222,crest
0011120022,sweat
100010002000000,cyber
11102,adore
1011010002,tardy
0020020100,swami
0201010001,notch
110002200000000,groom
22200,roach
000100100120000,hitch
0200000201,young
0010010012,align
20201,model
2020100110,ready
1100002022,frond
101100002011020,strap
100022010022202,puree
2020110011,realm
000020001002000,venue
102000000100100,swarm
1100101020,offer
100010002120000,dryer
1020022000,diary
100000002020000,dryly
1020020010,drank
1010011200,acrid
0020101001,heady
0012101022,theta
0102000110,junto
000020010002020,pixie
0102001100,quoth
0200020100,bonus
0021021000,shalt
0000200020,penne
001010111020011,amend
0011000001,tabby
001100000112000,datum
000000120020101,build
0120000210,piano
00001201101000022220,shelf
0200210010,lodge
0000020200,swing
000002020020222,suing
2020110010,rearm
1210001100,coral
2010102010,ramen
1202000000,worth
0020011000,psalm
100011002001121,infer
1101121011,overt
111002202022022,mayor
0100000200,ovoid
0000202201,glide
0020210100,usage
0200200101,poise
2010000001,randy
000000000010000,chuck
1020000010,prank
0000010102,fishy
020200001002022,tooth
100112102020121,ether
110020020011100,drove
100010002111000,idler
00220,swath
0001020022,stint
000020120000222,while
001110002200122,begat
001001100001102,apply
0020022000,slang
11110,tarot
201000000122010,radar
1100112001,credo
1020201200,blare
102020120000222,aware
0110000220,canon
0001022002,shift
100110102022022,timer
0010012000,bylaw
1000102100,serum
1001200201,three
001112002100010,steak
1000020002,shirk
0001000222,blunt
000000000220000,puppy
0010102222,penal
020100001000020,joist
00000000020002002222,bunny
002022000121202,shape
000110012202022,beget
000010012001000,wheel
0011101012,adept
0001020222,stunt
0101221000,stole
0211011000,topaz
1100202200,chore
000020200022202,fluke
011100021220202,afoot
000000100220022,bully
000021001011102,dense
101010200002010,caper
100010102001220,sneer
12001000000010002022,boxer
0000201011,lunge
002022000122202,space
0020001100,avail
110102020220222,short
1000020210,slurp
021002002022022,loyal
1001000012,flirt
0010000010,pizza
020000000021000,conch
0101102011,tempo
110000200122220,droop
0022201101,plate
0000201100,bible
000000200002222,plunk
011001001012012,afoul
0110000021,savoy
000112022122220,steep
001020102020122,agile
0021200101,stake
000010011010120,dwell
002020000010010,knave
1020100000,beard
1110220212,arose
0201000120,motif
1100002100,broil
1020201210,glare
0100220000,shove
001000100002022,baggy
001000100002002,humph
00100010000200200200,mammy
002002000021200,swamp
0110010110,along
101010200012100,wager
002000002200100,quack
0011000002,squat
0020020001,snaky
000110010211102,debit
0010222000,sissy
001022200000000,mange
0022221100,skate
0002012200,ninth
020100100002202,joust
1021002020,tramp
1000020200,spurn
110000110010120,micro
2000101021,rebel
002000200202010,flank
1020110000,learn
1010002100,nadir
0010222020,maple
020000000200200,comfy
2001110020,remit
100000020002201,gruff
1001121021,ester
0021110011,least
0200001100,mogul
000110010122200,fetch
001020220102222,cause
0110120112,oaken
011001002020222,aglow
0022102220,meaty
001020200000012,gaffe
0000021002,shyly
2010112000,racer
110000200001000,prowl
0001100021,thief
1001111101,stern
0200101001,poesy
2200000202,rocky
0001100222,tweet
0011000202,waist
1000211001,spire
1100210200,grope
011000002002020,havoc
001100000112002,patsy
1001000201,naval
100100020100001,truly
1202000012,forty
000210010002022,deity
0000201010,uncle
000002020022200,swish
10001000200200002222,giver
100010102002221,preen
000010012022000,bevel
100010210002121,lemur
0100222000,slope
011000022001220,annoy
0100001101,lingo
0010101021,bleak
0002002010,ditty
1000001120,curly
1000202000,dirge
1100022010,grown
1200200001,horde
000002000020202,shuck
1001001002,crypt
000000011000221,cumin
0101000020,stock
102000000002200,gravy
020000110002021,locus
100010002112000,wider
100010102221000,breed
0002202200,quite
002020000012000,chafe
001020200010002,cache
0000002220,blimp
000010101202222,deign
0000102011,fiend
020000100012100,logic
001010102002220,cheap
0000202200,elide
2000020200,rigid
001020201112022,false
201010110022022,renal
000020001022020,pence
2200010002,rowdy
010100000102212,shoot
0020202000,badge
002020200021002,blaze
010010102122022,envoy
0200200200,posse
100011002002222,brief
100010202020200,never
1111001112,abort
020020110002222,mouse
000000001222002,mucky
000002100220012,sulky
100012100021200,fiery
001010201002022,media
100100020110000,trunk
0021110001,batty
002111000101101,yeast
1010101100,clear
002002101010000,scalp
000200200020210,bitty
100010002112001,cider
0220012200,koala
000110002202022,duvet
0000220001,segue
1000200020,creme
100000002001100,grill
101111002001222,after
1100101220,owner
100010102001120,ember
2020100010,reach
020001100212202,nobly
0002110100,empty
000012002020221,speed
000001010202102,gipsy
2000100012,recur
010002020020222,smock
101010100001121,dread
1000200010,merge
1001010102,burst
001000000002002,kappa
0012000202,amity
002002000120222,shaky
120010000001110,hover
1110002120,carol
1101022202,snort
010002102020021,synod
001100022211000,faint
001100002210201,haunt
110000100001110,flour
1020001100,chair
0101102021,detox
100010002000001,shrew
0001200020,tense
0000101120,plied
102000001001202,quark
1000000120,burly
0200100100,novel
001010111010022,waxen
0101000010,stoic
100010200000001,jerky
0002001000,blitz
000010001020002,beefy
1000001010,lyric
000001000220000,hussy
0201100100,towel
000100010200200,quilt
0100102020,below
010000110002222,bingo
000001010202202,wispy
102000000100002,brash
010022001022202,scone
0221000000,toast
001010101220000,easel
001000110020022,saucy
0010202110,value
000022020022202,spice
1200000200,honor
22022,route
102000000110010,sharp
001000100002102,bawdy
2010000101,radii
000002100022220,skull
0100001200,phony
0000210100,issue
101010210022022,lager
000012011000000,swell
1000201100,urine
001000120002222,gassy
1011001020,trial
1110001010,flora
100010012001222,upper
0011011001,latch
000100100210010,wight
100000100210000,brick
2001100000,retry
020000100200201,holly
001010202202122,decal
102000000202222,grass
002002002210000,shack
021000011012002,dogma
1200120000,mover
1000112021,defer
120010000102122,sober
0101010010,optic
100010002001000,crier
000000020102222,vying
0210000221,nomad
0002201010,flute
010000010000002,hippo
