,alien
0112020220,islet
0001002202,forge
0000121000,corny
0100001020,moult
1010002001,basic
1100020000,child
110002000000012,salad
200101020020222,agate
00200,crost
0020010010,spicy
1000001010,hopak
100000101000120,spray
1001010100,essay
0000000220,fjord
0001101020,spend
1001000100,gauze
100100010001001,kebab
0120000101,guild
20000,brods
2000010000,aback
0000000111,motor
22011,alone
1000010001,humph
100001000120002,hatch
0002010000,freed
000201000001020,hyper
0000002001,thumb
0000000120,dowry
0000001102,ought
0101000200,belch
0000001001,adobe
000000100101000,dutch
01100,lilos
0110002220,pilot
0002000001,tweed
0002002002,comet
1000102022,tough
100010202210200,jaunt
10011,crams
1001100120,enema
0002000011,steed
2000010002,abyss
010000010002222,growl
02201,gecks
0220110000,fling
00022,howks
0002202000,dozen
00000002000000022202,boozy
0001001102,preve
000100110202102,erode
0100010020,world
0001002002,gouge
0220020000,click
10200,dwarf
1020000110,briar
1001000112,great
22000,booty
2200000010,altar
0100002202,sulky
010000220202202,pulpy
0200021000,blurt
1000020122,coast
000000100012000,duchy
00102,groin
00120,rafts
0012010100,fixer
0000000210,chump
000000021000102,group
0001002102,rogue
1100000002,badly
100000101220222,smart
0010000101,kitty
001000010102202,pithy
100000000001112,gaudy
0120002002,chill
00012,heron
1000000100,dogma
100000010012002,vodka
00121,finds
0012122200,finer
0002010110,surer
1010012100,pound
101001210001001,radio
000100210222112,rouge
0001000201,ambry
000100020100010,perch
000101010111101,retch
0001011102,wrote
0200000010,clock
0111020002,tilde
0001011112,store
000100110222022,prove
0020112000,bring
0101020200,solve
1001001102,cheat
002100200002202,grime
0101001020,exult
000201011011022,usher
0001001001,epoxy
000100100122200,epoch
1020010110,triad
100100011011100,break
0020101100,rhino
11100,virtu
1110022200,viral
00101,dicot
0010101110,crust
001010111020000,conic
100101010011210,masse
001010111010010,sonic
1110022010,vital
100100121112212,trace
0020110001,using
1001001200,peach
1000020000,dwarf
100002000000200,champ
10002,brogs
1000220100,baton
100100021000010,brake
020000100002222,pluck
1001001210,craze
0021002020,gripe
1001000220,thumb
100100022000000,weary
0010000100,pudgy
001000010020002,picky
2001010100,acute
000100020100022,ferry
20210,aside
1010002110,tapir
0100000120,troll
0020100000,unify
0001000111,rebus
0000010202,boost
0000010011,truss
0011020010,siege
0012010010,tiger
1100112022,banal
0200001001,slump
1000101020,spicy
100010102000010,crank
000100220202222,gorge
0001000101,reedy
000100010110202,query
0020102000,drink
100000110000100,favor
2002001200,abbey
1000102111,tangy
10101,panic
1100020110,solar
0021001000,shire
000000021000001,proxy
0020100110,point
0000000112,robot
0020012000,prick
00111,since
0011102222,wince
0020022000,crimp
01001,knoll
100000101000020,sugar
1000010000,whack
0000100202,mount
000100020100012,perky
0100011020,could
0000102200,wrung
0110022000,lipid
011002200022000,light
0001021022,those
0020000122,fehme
002000012200010,moist
100000101010010,shard
12010,bract
1201000102,pleat
2200000210,aloft
0120000002,awake
012000000200010,skill
0202000200,elder
10010002100001002202,frame
0000001110,humor
100101010011010,pause
0202020000,ulcer
12000,bocks
1200000000,llama
120000000002002,ultra
0010201122,robin
0010101100,cynic
2000002200,aroma
1100000000,caulk
1001020200,dumpy
100102020000000,shake
000100200202022,dodge
012000000202000,swill
1010002010,tacit
0002011001,other
00002,crowd
0000201200,thorn
0001021102,trove
0201000201,bloke
001000000002220,vivid
012000000200000,spill
1000101022,chant
0001001002,choke
0002020100,rupee
100010211112102,nasty
0000201100,mourn
200100011021001,ahead
00211,swung
0021100020,opine
002110002000222,brine
020000001022200,cloth
100000110000021,hoard
0002000012,sweet
0000100001,month
1101001120,lapse
100001000100002,watch
1000000101,today
0000010100,bosom
000001010002100,focus
0101020020,smelt
1001010201,tease
1002020001,cater
0011000020,movie
1001020101,karma
100102010102000,saute
2200001000,allow
0002120000,renew
0011000121,their
0200000011,slosh
0001000202,verve
000100020200202,purge
0001010021,guest
000101002100222,chest
0001011001,depot
0000100000,nymph
000010020010000,dwarf
00001002001000010001,found
110002000002020,shall
0001011012,stove
0100000122,lowly
0000100112,snout
000102110222202,trope
000201000021120,fewer
110002000002010,shawl
1000020100,comma
100000110001200,foray
1001022220,scare
1010001111,stair
1200020110,black
1000000010,depth
100000001010000,squad
1100000111,royal
0000120200,chunk
001110222202222,mince
100102020000100,shame
0002000000,cheek
21010,ample
12100,crept
1210001000,flair
000201200000000,marry
00020120000000000101,foyer
1000021100,cargo
0021000000,guide
002100000000222,oxide
12001,speck
1200101000,plant
02210,cedes
0221001000,olive
0011101101,inert
2002001000,askew
0021000002,heist
0000200220,shown
0001010011,setup
000101001112100,zesty
1000002021,trash
1100000200,mural
110000020000211,larva
0000000110,curfs
000000011000210,forgo
0000020221,karma
000002022100100,story
1020000120,hairy
1010201100,train
000201200001000,homer
100100010012002,badge
0010000022,midst
1000102120,focal
100010212000110,canny
0021120020,shine
000100100110100,gecko
1001001110,creak
100100111011110,farce
02001,fucks
0200101001,slung
0010000121,tipsy
110100210100110,metal
0111001000,yield
010100020002200,delve
0021100022,eking
002110002210222,being
0000020210,scour
1200000002,glass
1002000200,gamer
1000011010,marry
100001101001200,scrap
0002102000,humph
000210200000100,money
0011102202,hinge
2200010000,album
0000001100,baccy
000000110000020,vouch
2002001002,asset
1010001110,tiara
100000010001001,bayou
21000,moult
2100001021,atoll
1000102010,manor
0000022200,shock
000002220022200,showy
1001010200,phase
0000001211,froth
0001010001,depth
0200000020,gloom
0200000120,flood
101000111021210,trait
0010010001,biome
001001000102000,girth
0011001011,piety
0001002022,plume
000100202200002,goose
1200001000,float
0000101000,donor
20011,grade
2001100102,atone
0020002100,primo
20002,pride
2000211000,apron
02002,focal
0200201001,blown
100002010021001,cacao
0102010020,crust
010201002001010,loser
0010101002,input
120000100002222,gloat
2100000110,awful
002010200002222,brink
0021000001,suite
002100000120222,smite
100100020002222,beady
000001001111110,rusty
0001011101,retro
0100020120,droll
100000000000012,gawky
000000100100000,hutch
0010102011,pinto
000201000211122,egret
1110002000,lilac
0002010010,welch
000201001002000,sever
0111001010,field
0200001100,fluff
200100020000020,agape
0021010000,voice
100102010101000,stead
0001010201,berth
100000000000200,madam
0010102002,night
1200100000,bland
0112011022,liver
0001000002,bough
000100000200020,wedge
000000021000020,roomy
100001000020111,wacky
0200000110,flock
20001,angry
0021002001,trite
2010010001,aphid
000001001202022,tryst
001100001002012,midge
000201200010000,power
0201000200,glove
020100020002202,elope
0010102100,cowps
001010210020000,cinch
000000010110202,motto
0000020201,stoop
000002020122202,stomp
0002000112,upset
0200021100,bluff
100002200001120,cramp
1000001002,quart
0100000022,crust
010000002220000,coyly
0000001101,gusty
000000110101021,youth
0001000102,creme
000100010201022,rhyme
0000000000,dumpy
000000000002002,buggy
1001020110,humph
100102011000100,smear
001010100212012,unfit
100000000100000,patty
0220110100,cling
12012,glean
1102000000,blush
110200000011000,label
0000100100,funny
000010010002202,hunky
1010001000,khaki
000201200000001,poker
010201002002200,gruel
0021010001,twice
1000101021,twang
000002201022220,shrug
100100011202222,treat
1001010101,whelp
100101010120100,waste
0011000222,merit
0002202100,woven
0001102010,venom
000110201002100,needy
0200201101,clown
0010101010,irony
000202010022020,ruder
0022000010,chief
0002101012,onset
002100201000010,prize
0010101000,fungi
1000021000,charm
0100002222,baffs
010000222200000,gully
0012101100,inter
0000002200,whoop
100010202220200,taunt
0101000102,rebut
010100010212000,leery
1200000102,class
0001020002,theme
010000010200001,lofty
1010001010,tibia
000100200202002,booze
2200000000,alpha
000102000222022,thyme
0000000102,doubt
100200001002200,parer
0001010002,chute
0020010011,stick
0021012001,trice
22210,alike
100100111011120,recap
10201,tipsy
1020111010,saint
020000001002200,glory
1001000211,grate
2010010100,admit
0020002020,brisk
0000020100,soggy
0000010020,usurp
110002000010022,scald
0000211200,scorn
1101002200,lucky
110100220020000,leave
0021102020,twine
0020110011,sting
000000110020000,bough
1000001020,marsh
020000001122202,sloth
1000122110,dandy
0010011000,vigor
000000110000002,howdy
0001101010,enjoy
1110021000,valid
001010111010000,ionic
1101001100,gulch
110100110001100,equal
020000012022220,floor
1000020001,catch
100102020010010,spade
00112,stein
002100000201222,exist
0020001000,quirk
0011101201,denim
000100110202022,grove
01220,spiel
000000000002202,mummy
1100001000,awful
110000100010111,fault
0000000100,budge
000000010000020,foggy
0200001110,flout
100002100020120,carry
1001100101,sneak
0112011120,libel
110000100011001,waltz
2100000021,aptly
0012102200,piney
001110110122202,inept
2200000200,aloud
0000002201,photo
100100011011001,dream
1101001211,stale
0021100110,unite
1100111002,snarl
1002000000,gawky
100200000002010,baker
0001020102,there
0200000000,glyph
0000001200,pooch
001000010010002,hippy
0101020120,humph
010102012000010,spell
0100000222,fight
010000022220000,folly
0101011100,louse
0100002200,gulch
110000100010011,vault
0100010022,godly
0002010001,deter
000201000100121,threw
0202000000,fleet
100100021020110,grave
10111,inane
100100121022202,crave
0021000011,spite
110100110000200,valve
0020000010,skimp
1210020000,claim
1020101002,rainy
0000010001,model
000001000120000,musty
0011001010,pique
100000000000202,daddy
1010001001,quasi
2021021202,arise
20201,aging
1102000002,valet
0020000100,opium
2001011100,avert
0000020001,spicy
000002000120020,stuck
000101010111102,recut
010000220002222,mulch
0001102112,genre
020100100002222,plume
0111000112,rifle
0000120202,count
0010101200,incur
1100001010,total
0001010121,wrest
1000010100,mocha
000002000120002,study
0102010220,lover
100200000002000,safer
0012020010,rivet
0001001012,spoke
000100101220222,smoke
000010020010100,mound
0001100012,undue
1001220000,sedan
1000200010,pagan
0021122020,swine
01210,humph
0121002000,guile
000001000100000,gusty
0011001020,equip
000000110111010,tough
1001120100,canoe
1000020110,chaos
000200200222022,covet
1000200000,human
0002010100,speed
000201010000021,udder
0100101010,lunch
1200020001,blast
1000001011,repay
100000101110022,stray
100010201022200,manga
0102002020,jewel
010200202002021,melee
010100010202001,lefty
0020010000,quick
100101010100101,paste
00122,sever
0012200220,given
0002001002,octet
0012210021,risen
1000202210,groan
110100220020022,leaky
0020122000,grind
100100111021110,carve
0101010100,loose
1100020002,sadly
0120010001,spilt
2101020222,apple
1200000111,slack
000210200020000,honey
11101,final
0002210001,sheen
0011000220,eerie
0010102001,minty
0220010000,slick
000100020100112,derby
100000100000000,wharf
010102002020222,spelt
100002010022001,coach
000101010102122,erupt
0011122202,singe
0021012010,price
1000200001,spawn
1020000121,fairy
001000010000002,jiffy
0110002200,filmy
1000010011,stack
0001001022,chose
0202001001,sleep
2000002110,ardor
100010212000010,nanny
0011102122,niece
000000020020000,woozy
1000112110,fresh
100011211000001,handy
100100121012202,grace
0010001001,ditto
100010102110220,stank
100100111022220,cream
1100010000,usual
001100001002202,diode
110000012012022,valor
21011,angle
1010101210,ninja
000000000012102,muddy
1001011200,chase
0101000022,reply
0001100122,prone
0110011011,spoil
1001000222,heart
100102020010000,shade
0012102210,diner
2000202000,arson
00202,onion
0202000001,sleet
010200002002122,dowel
000000110000120,couch
1100010002,palsy
010200002002022,bowel
0121000100,smile
000100100200222,evoke
000201000002220,creek
11011,penal
1101101211,lance
110100110010100,eagle
0020000102,idiot
0012220021,siren
0120010101,bring
012001010120200,built
000200000000120,embed
2000001010,award
0000010210,grade
000001021002010,dross
21001,annul
000000020000110,goody
0000202220,feign
000020222020002,frown
101000201012020,patio
11022,laden
001000000000020,humid
0221001010,elite
0100000101,lymph
0021000100,edify
001000000200000,might
0002020012,reset
0010000012,visit
0000010101,gusto
0001000222,purse
10000011000010002122,vapor
000000021020000,crock
002100200102222,write
0000100110,sunny
110000101012011,loath
100002000000202,chaff
0221001101,slide
000201010000220,queer
100000001110100,stamp
0000020120,sorry
0120010002,still
2000201000,acorn
2020120222,aping
0000011000,humph
000001100012010,pushy
1002000201,tamer
1002000001,tweed
100200000110020,hater
1010102220,mania
2001000100,awoke
1000222000,brawn
0020000012,swift
0121000000,exile
0010010000,birch
010000210210000,lucky
000201000022220,freer
0010020110,risky
0000012202,ghost
02220,plier
1100110021,lunar
001010210010100,winch
1001101201,snare
0001100212,nurse
000100202200202,house
100000110000200,borax
0012102100,nicer
0100002100,lurch
1101001202,exalt
2000010200,about
100000001000000,savvy
0010200122,toxin
0010101101,tunic
0022012000,pried
1110101121,inlay
0000002000,chump
1100112001,lanky
000100012100010,cress
100200000110120,eater
0201000000,elude
0101000021,cycle
010100102010220,boule
000020110022012,moron
0002100002,tenet
1201000220,place
010000010200200,lobby
020000100112201,plush
0110012000,vigil
0012101110,index
0220100010,blink
0200101100,clung
110000000001120,qualm
000000021020102,croup
0220100110,clink
002001000002220,juicy
1001020201,skate
100102020120212,stage
1001001100,decay
0001102212,nerve
0222002222,flier
1000000012,shaft
00000002102000022202,crook
1201202222,clean
1020101000,china
0011000110,ridge
0102000120,vowel
000110001202002,gnome
0000110210,snuck
0020110000,dying
002011000000222,icing
0020100001,spiny
0010021000,rigor
1110101112,snail
0200221001,flown
101001210000002,rabid
0001001122,prose
100010102120220,thank
000000010000000,poppy
000100000220120,budge
001201010022022,fiber
0100010202,moldy
000000010000100,dowdy
01021,kneel
1000012001,track
100002000010100,caddy
0101002120,quell
1102001010,paler
0001001112,whelp
000100111210100,swore
100100011021200,rebar
1000010010,smack
100001001020110,scuba
1100021000,splat
020200000022020,flyer
000010100002101,horny
1000200101,mason
0020110100,doing
0001100022,shone
000110002200222,ozone
2100010020,amply
1100000110,molar
100000110001020,ovary
000200001210122,beset
000100000200100,queue
0220020020,cliff
101000200000110,magic
000102010220012,truce
0000020222,sport
0020002001,fritz
0021010002,edict
0120020022,twirl
000100022200222,verse
10022,trove
1002210001,eaten
1001101100,range
0020000020,whisk
0102000220,hovel
100100011021100,rehab
100001000010110,macaw
101000100100111,sigma
000002020222000,spout
0010000010,sushi
0011000021,fetid
1010221000,brain
000000000012002,buddy
000000200122220,thump
0020200222,scion
100011211000000,candy
0000002220,chord
1010222001,basin
1000011000,march
00000002102000022200,crowd
2000012100,arbor
110000000202022,gayly
0000010000,musky
1010201101,stain
110000000202122,dally
020101000002220,bless
1000002100,bravo
0000100211,stung
011102000222102,title
0102020020,ruler
0010001020,kiosk
0200100000,blond
001110120101210,ennui
1102001200,layer
02100,fluid
10000000010000002222,tatty
000100111200100,score
001100002101220,cutie
1001000120,zebra
100100011012100,barge
1002000101,matey
0202010000,bluer
20120,aider
000002220022202,shook
0012020000,evade
001202000011000,river
0020002000,privy
0102002021,betel
002000202002222,frisk
000010000010000,bongo
0001202002,begun
2001001100,azure
100100020002200,weave
0011101202,genie
0000100210,prong
000010021000120,sound
1010011100,braid
000100101221202,scope
010000002202000,wryly
0002022000,wedge
000202200001000,rover
2000000001,assay
1001202000,ocean
0200020020,bloom
10110,media
1011001011,irate
1102001001,later
0002202110,woken
0110002201,silky
000100010110200,wreck
010100002010220,dwelt
1201000201,serve
120100020120002,slate
0110001211,solid
200100020000100,amaze
110200000001001,hazel
0020002022,wrist
010000022200000,jolly
020100020022202,globe
0220100000,flint
0001002122,rouse
011001200012022,civil
1010001021,vista
1101022100,relax
000201200000010,cover
2221022202,alive
0001000001,badly
000100000120000,beech
000101000102020,jetty
0220000000,bliss
110000001022001,vocal
0002201000,often
0100020222,dolly
0011000012,eight
00020120000000102222,joker
0001101021,event
0001101012,ensue
0000100212,shunt
0012010000,advew
001201000001220,diver
000201201012022,poser
0000010112,worst
0002000010,sweep
22020,alley
000201000002222,bench
00020100000222201010,creed
20211,anime
110100220020002,leafy
0001110012,dunce
1001020221,stare
000000000012012,pudgy
10210,serve
1021000022,waive
001001100001012,choir
000002020122220,stood
000000010122202,outgo
1101002100,medal
110100210002121,delay
0111000002,bilge
11110,ideal
1200000101,clasp
002100000000202,seize
010000002200001,hotly
110000000002210,laugh
001102001022202,sieve
0200020010,block
1001100210,meant
100100021020010,grape
000110001201002,noose
100000100010002,hardy
0022010000,shied
1100000100,bench
110000010000000,drawl
1020020100,daisy
0000000001,putty
0000020012,strut
0000101102,burnt
0110001200,tulip
002002200022200,crick
0110011100,idyll
0012200120,vixen
000000011002210,furor
000100000100002,geeky
000000110000100,cough
10211,naive
1100020010,shoal
000002022110100,stork
1001000101,bathe
2000121002,aunty
000100000100000,check
002100201010010,prime
1000002020,brass
0002011101,outer
0000000020,furry
100000110000110,razor
0201000020,elect
002101000220222,evict
0110011000,imply
000100010112010,demur
1000000201,quota
1002200011,haven
1110011000,cavil
100102011000000,swear
0000000010,crumb
000000001022220,crump
000000110000000,dough
1102020000,gavel
1000200110,wagon
11002,salon
000110001211202,nudge
1002000100,harem
0010000001,width
001000000102012,pitch
0000201210,sworn
011001100010210,pupil
0102001020,excel
0000100011,stony
1010212000,cabin
001010100001101,unzip
0002200000,preen
000220000000222,queen
0000000212,trout
0100000201,polyp
1001000111,earth
000002022100110,storm
01101,until
1002000011,taper
0002110001,enter
0120002001,child
2000000210,adopt
0010102020,minor
100000000100010,fatty
000001100022000,husky
100100021000110,brave
0112010220,filet
0221001001,slime
0220120000,glint
100100011111110,tread
1101001111,steal
110102210022120,regal
000100010111202,every
000000001001110,murky
1001020220,share
000100111200101,spore
002000012200100,hoist
000000010022000,buxom
0012101200,inner
000201100122022,otter
011001200002001,dimly
0102002220,level
100001001021110,sumac
0000100102,donut
012001000120222,stilt
2001102101,arena
000200001220222,sheet
0000020010,scrub
1000102110,humph
100010211000000,fancy
0220000102,slimy
1101012200,pearl
0110012201,silly
000000111010011,porch
0010122010,dingo
1011002022,sepia
2101022022,amble
100000001010001,shady
100100011011102,bread
1020000111,friar
0021200010,reign
1020020120,dairy
0120000102,quill
000001021002000,cross
000000021000000,brood
0002010101,tuber
100102011010000,shear
0010002012,posit
1200100002,blank
1110022000,villa
100010102020000,shank
001000010020022,piggy
100100011011000,freak
002001000000220,which
2000121100,among
110100210002022,fecal
010102012010000,shell
010001102002222,would
22010,algae
1101011100,large
1010002100,rabbi
2000121102,agony
2001000101,amuse
000001100012000,bushy
000100202210002,copse
0000200210,swoon
0021100010,knife
00000011000002002222,pouch
2000000101,ascot
12011,plane
0000222220,crown
1000212000,urban
0021120010,snide
110102210022220,relay
2021020222,abide
111002200022022,viola
10000010000000001110,rajah
100000101110020,straw
0110012200,dwarf
011001220020000,dilly
100002202022220,crash
2000000002,amass
0020001001,third
0020012001,trick
000000011100222,tutor
000000020020100,woody
020002100022220,blurb
0022002010,grief
0010001010,disco
000100010201202,where
1000000020,smash
100000002020120,sassy
100100120002222,beach
1000102020,sauna
0010002000,comic
0202010100,clued
00020100000222022220,creep
1001011101,caste
10010002102001022202,graze
000010021000010,snuff
000000021010000,frock
1000111010,gonad
000010220002220,drunk
0000102000,prong
0110021000,lurid
0102001021,steel
110100110000201,halve
000201010000020,buyer
0110101012,vinyl
0121001000,utile
010102012000100,smell
2001000210,adage
000000012002122,worry
100000001100102,tasty
11000000100200102222,local
100100021102212,trade
001010210010000,finch
20022,ashen
110000001002201,modal
100010202210210,gaunt
0201000210,clove
1001110200,enact
2000201010,adorn
1000001122,roast
000100001120200,speck
0011020020,sheik
001000012002222,missy
0000102202,grunt
0000100010,snoop
1000001001,party
000000110101010,touch
101000200010010,mafia
000200000010120,emcee
2000002000,array
0000021101,south
1010012000,vapid
010100022202222,jelly
010000102000220,skulk
2000122200,angst
110000100010012,tubal
010201002001000,lower
000101012102222,crest
1001020102,sweat
00020100000102002022,cyber
2001001110,adore
100000100102212,tardy
101000100100212,swami
0000110001,notch
000000021000010,groom
1000011100,roach
00100000010201202222,hitch
000010020011000,young
22202,align
100100021001011,ready
000010200002220,frond
100000101110120,strap
000201010001120,puree
1101022200,realm
0001102012,stink
000110201200010,venue
100000101000010,swarm
0002011000,order
000201100020022,offer
0002200001,seven
000201000002021,dryer
1010021100,diary
0100020022,dryly
1000121020,drank
2010010010,acrid
100100010101111,theta
0000100101,junto
001100102010021,pixie
0000001201,tooth
000000120100222,quoth
000010011011200,bonus
110002100020112,shalt
0001102022,penne
2001100111,amend
100000000100100,datum
012000010102222,build
1010121110,piano
010102002020220,shelf
0101000100,lodge
002011000111222,suing
100100022000010,rearm
1100000210,coral
1002201001,ramen
000000111102222,worth
110001000002011,psalm
0012111100,infer
000101110101121,overt
100000110021100,mayor
0010001000,ovoid
0221001100,glide
100101020000212,usage
002100001011202,poise
100011211001000,randy
000000200022200,chuck
100010102001000,prank
0010000110,fishy
000201000101122,ether
00010011020202202222,drove
0112020222,idler
100000001100110,swath
002010001122220,stint
0121010000,while
1001000102,begat
2100000020,apply
1200120000,slang
1000001102,tarot
100000100010000,radar
0001001101,credo
2001001200,aware
1000200100,canon
002000001220222,shift
001201001022022,timer
1100000001,bylaw
0001000211,serum
000201000101121,three
100102010111000,steak
12200,iliac
0020001010,shirk
0200101000,blunt
000000000002022,puppy
002000012200000,joist
000010010002222,bunny
100102020000020,shape
0002000002,beget
010200102010022,wheel
2001010110,adept
000010021220222,stunt
010102002020121,stole
100000010122020,topaz
000100110201002,chore
0201000001,fluke
2000000200,afoot
1200021000,bloat
010000222220000,bully
000110201210010,dense
1002020010,caper
0002110010,sneer
00020120000000000100,boxer
000000010012000,jumbo
01011,uncle
0101111012,lunge
1001021200,space
21100,avail
020000100122202,slurp
1100000011,loyal
0220000010,flirt
101000100000101,pizza
0000120000,conch
0001021001,tempo
000000021000002,droop
120100020100002,plate
011100000222102,bible
0200101010,plunk
2100001110,afoul
1000000110,savoy
000200001122220,steep
21210,agile
100102020121212,stake
0101000120,dwell
1001100200,knave
100100022000001,beard
2001002101,arose
0010002001,topic
001000200112020,motif
0110011010,broil
1201001200,glare
000100101220202,shove
100000000000022,baggy
100000000000002,mammy
100000001000100,swamp
22001,along
000000001001101,rugby
100200000012100,wager
100001000000222,quack
100000001220102,squat
1000101110,snaky
0011000022,debit
1001100110,mange
001010200102220,ninth
0000010102,joust
1000002001,tramp
0000201000,spurn
001001100002011,micro
0102022020,rebel
120010000202222,flank
11012,learn
1010102120,nadir
110100110000100,dwarf
11010011000010000100,maple
00000001000000002002,comfy
0011000122,remit
000000001002200,gruff
0002010011,ester
1101002222,least
0100001100,mogul
000101000102012,fetch
1001011100,cause
1002200101,oaken
2100001010,aglow
100100020102220,meaty
100100010022002,gaffe
010000002200010,shyly
1002010000,racer
0022000011,thief
0001201102,stern
0001002021,poesy
000000011010100,rocky
000200000201022,tweet
1020001100,waist
0021001010,spire
000100110212002,grope
100001010001111,havoc
1000000021,patsy
0100001022,truly
000000011102101,forty
0021000101,deity
002000002011220,swish
001201000000220,giver
010200222002222,bevel
0101001100,lemur
1000002002,draft
0201020200,slope
2000122002,annoy
0110101011,lingo
1201020100,bleak
001000010102222,dwarf
00100001010222220000,ditty
0100002022,blush
010000202201100,curly
100100111021120,cedar
0011000210,dirge
000020222000012,grown
000100220202202,horde
0100020100,drool
0000022000,shuck
0000000012,crypt
0010200022,cumin
000002020122200,stock
1000002000,humph
100000200000000,gravy
010000110002021,locus
001201000001021,wider
00020100000222221000,breed
002100000102222,quite
100100120001211,chafe
100100110001210,cache
0220000100,blimp
0021220000,deign
0011102101,fiend
0110021010,logic
100100110001120,cheap
0221001110,elide
0010020000,rigid
110100112012022,false
1101102222,renal
0001112012,humph
000111201200010,pence
000000011000100,rowdy
0000022202,shoot
1201020200,model
120102020000011,blaze
000110101022022,envoy
000100202220002,posse
002200201002222,brief
0002110000,never
2000011200,abort
000100202200212,mouse
000000000002102,mucky
001100011012001,fiery
0000102201,trunk
1001010202,batty
100101020201101,yeast
1201001110,clear
000010021000020,skunk
110002000010020,scalp
00100001010222200000,bitty
001201000001020,cider
110000001002012,koala
0002000102,duvet
0001000012,segue
000201011022022,super
0120000012,fudge
012000001200010,grill
2002011001,after
0002111000,owner
000201000001120,ember
100100121011201,reach
0100101120,nobly
000101000101220,empty
000200001020221,speed
001000012002022,gipsy
000100010122000,recur
0000020200,flick
000002020000022,smock
100100011011002,dread
000100020202202,merge
000001001201122,burst
100000000010000,kappa
20200,amity
100000001000001,shaky
00020120000100022022,hover
1100000220,carol
0000101012,snort
000010001021020,synod
1020111000,faint
100010202210201,haunt
020000111022220,flour
1010001100,chair
000101100122021,detox
000201001011001,shrew
000110201211010,tense
0222022220,plied
100000100002000,quark
010000202221100,burly
0102101022,novel
1002200001,waxen
0010001011,stoic
00010002010001202222,jerky
022000000022200,blitz
000100000120002,beefy
011002100020220,lyric
00000110002200022202,hussy
0102000021,hotel
010200002102122,towel
012001010100200,quilt
010100020022200,below
0010102010,bingo
001000011002202,wispy
100000202022220,brash
0001110022,scone
1000000122,toast
110200000001010,easel
100001001020120,saucy
110100110001200,value
0021010010,spice
000010100002222,honor
0001012102,route
100000101010110,sharp
100000000000102,bawdy
101001210000001,radii
0100001120,skull
000010000011011,phony
0011010010,issue
1102011000,lager
010102012000000,swell
0021100120,urine
100000002010120,gassy
11200,daily
1120001210,trial
120000100022210,flora
000201010002020,upper
110000100010001,latch
001000000201000,wight
002001200002222,brick
000101010101101,retry
010000022200010,holly
110100210002122,decal
100000202002222,grass
100001001020222,shack
00020120000000020100,mover
000201000011121,defer
000201201022022,sober
001000100101201,optic
0022002000,crier
002011000002222,vying
100011101002122,nomad
020100000002202,flute
001000100010010,hippo
100000101010012,shark
0022022000,drier
000100102200122,obese
0101002020,bugle
1000102121,tawny
110000000021022,chalk
100101020201100,feast
000000001001100,ruddy
110100210002222,pedal
100001101001020,scarf
